,subj,roi,cond,depth,radius_band,accuracy,nVoxels
215,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,6-May,0.2345,10
252,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.10973076923076924,10
253,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.088384615,10
254,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-Jan,0.22175641025641024,10
255,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-Jan,0.17162820512820512,10
256,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,3-Feb,0.17571794871794874,10
257,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,3-Feb,0.19139743589743588,10
258,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-Mar,0.20003846153846155,10
259,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-Mar,0.20115384615384616,10
260,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,5-Apr,0.1813205128205128,10
261,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,5-Apr,0.20893589743589744,10
262,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,deep,6-May,0.1270128205128205,10
263,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,deep,6-May,0.134,10
264,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-1,0.20256410256410257,10
265,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-1,0.18012820512820518,10
266,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-Jan,0.24697435897435902,10
267,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-Jan,0.18943589743589745,10
268,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,3-Feb,0.21761538461538465,10
269,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,3-Feb,0.2351923076923077,10
270,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-Mar,0.22067948717948715,10
271,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-Mar,0.17760256410256411,10
272,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,5-Apr,0.14765384615384616,10
273,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,5-Apr,0.14957692307692305,10
274,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,middle,6-May,0.13665384615384615,10
275,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,middle,6-May,0.15456410256410258,10
276,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,0-1,0.382051282,10
277,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0-1,0.16346153846153846,10
278,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-Jan,0.3137692307692308,10
279,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-Jan,0.21871794871794872,10
280,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,3-Feb,0.2553461538461539,10
281,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3-Feb,0.2658333333333333,10
282,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-Mar,0.2191025641025641,10
283,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-Mar,0.20185897435897437,10
284,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,5-Apr,0.16396153846153846,10
285,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5-Apr,0.15980769230769232,10
286,pnr495,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,6-May,0.12555128205128205,10
287,pnr495,V1_tgt_rh_rad10_filled_deveined,sur,superficial,6-May,0.1248974358974359,10
324,pnr510,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.2025641025641025,5
325,pnr510,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.24166666666666667,5
