subj,roi,cond,depth,radius_band,accuracy,nVoxels
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.163461538,5
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.362179487,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.424230769,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.362987179,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.256589744,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.18174359,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.25,4
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.381410256,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.405064103,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.411448718,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.404384615,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.338435897,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.167923077,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.157269231,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.163217949,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.149230769,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.168307692,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.159448718,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.184038462,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.148589744,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.133115385,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.168666667,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.151935897,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.162051282,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.190089744,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.173769231,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.171846154,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.194820513,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.171717949,10
pnr756,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.212166667,10
