,subj,roi,cond,depth,radius_band,accuracy,nVoxels
290,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-Jan,0.275769231,10
291,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.253935897,10
292,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-Feb,0.250858974,10
293,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.241333333,10
294,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-Mar,0.225897436,10
295,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.243858974,10
296,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-Apr,0.228974359,10
297,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.220320513,10
298,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,6-May,0.230692308,10
299,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.235358974,10
300,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.186576923,10
301,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.265884615,10
302,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-Jan,0.251884615,10
303,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.275910256,10
304,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,3-Feb,0.263820513,10
305,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.306910256,10
306,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-Mar,0.281384615,10
307,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.246666667,10
308,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,5-Apr,0.241679487,10
309,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.234871795,10
310,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,middle,6-May,0.240833333,10
