,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,NULL.1,theta first half all,theta first half F,tgt_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,NULL.2,theta second half all,theta second half F,tgt_theta_second_half p-val,sur_theta p-val,sur_theta_first_half p-val,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
142,63.93,78.25,8.0,0.33,7.77,145.0,3.11567569,0.10367776,1.57921541,0.87640554,1.41874361,6.85216188,0.00900492,5.27,1.26902211,2.24199176,2.19604611,2.86728692,1.80301785,0.81878543,0.79243702,1.0500834,0.87794757,1.54474461,7.72927189,0.00554947,3.28321266,0.79596901,0.43951863,3.03512073,1.68625629,0.7720179,3.112293,2.06357145,-0.96406639,1.57885218,4.07716417,0.04413985,-0.25557274,0.84585655,3.3865037,1.20144212,4.02001095,4.38778973,-0.00221064,2.78134847,2.91921997,2.14056706,7.57685041,0.00614252,0.01109788,0.22953068,0.00501738,-1.07509196,-1.89855623,-0.00057233,-0.36885163,0.38677502,0.37715468,1.84043896,1.71882927,-0.75332183,1.17083478,0.27952755,1.69652677,1.08764732,1.59396946,1.00673902,2.70828605,3.65578294,1.02138293,-0.25215492,0.68219364,0.96910214,0.32517602,1.77329135,2.63201809,2.60403657,4.57218409,4.82046223,3.23331547,0.64628524,4.4664197,2.24004674,10.66926289,0.00113163,-0.32303923,-1.42875159,-1.10571229,50.33288956,0.0,7.79538727,6.72630835,-1.06907916,1.64714909,1.13,2.23
143,63.95,80.75,3.0,0.0,6.24,117.0,-1.70064247,-1.25768793,-0.54245633,-1.39447963,-1.22381663,2.80630445,0.09424851,7.11,-1.46366298,-1.17180097,1.27572274,-2.35365796,-0.72604972,-3.06772518,-1.36997008,-0.32897952,-1.37508619,-1.17451429,2.51930809,0.11281996,0.75275862,-1.44738579,0.12235497,2.54289579,-0.97143328,0.96996194,-2.3686502,1.4766829,1.03496528,0.23444867,0.04777753,0.82708928,1.11302865,-1.93919587,-6.1132679,-5.0604744,-2.74699593,-6.98315763,0.14167112,-3.17792153,-3.521245,-3.13991904,9.38441277,0.00231487,0.08147422,0.86604534,0.00258201,1.82513356,-2.56490707,-1.44409096,-1.07598472,-1.59750283,-3.31236839,-0.64727998,-1.01505792,0.19176584,0.04170336,0.8382337,-1.87067592,-0.91309279,-1.61704409,-0.26754025,1.28738439,-4.70522118,1.83809888,1.53846812,0.85583544,0.84337896,0.35868495,4.01635075,-0.987414,-4.42028236,-2.22475767,-3.45486021,-1.66945958,-2.97425795,-1.46363378,-0.29326031,0.10126263,0.75039551,-0.26462287,-1.03360665,-0.76898378,17.40911865,4.582e-05,-3.91430449,-3.84427381,0.07003053,0.00266,0.0,0.0
144,63.99,80.75,7.0,0.25,6.26,126.0,0.81896758,0.06034583,-0.1800085,-0.07816802,0.15528423,0.06241293,0.80278018,6.05,1.36459458,-1.98590446,-1.91829419,2.33781147,0.1524689,2.00863171,-0.31624031,0.5269767,-0.11581725,0.22801919,0.13302152,0.7154074,5.5166049,-3.50127888,1.91408372,3.83102202,1.14006662,-0.60970032,-0.92571914,2.23060846,-0.62932497,0.9952662,0.98760605,0.32093503,0.02672564,0.28898647,1.53727007,0.53016329,-0.70385307,-2.51230025,0.91435081,-0.42188087,0.48818246,0.01638854,0.0004392,0.98328886,0.78009413,0.66458342,0.81112805,4.35275888,-2.32269979,3.37998509,-1.27290702,1.18105376,-4.46963596,0.0866382,0.26351857,0.23238446,0.08655115,0.76867801,0.98420447,-5.23890829,1.61297858,3.4256897,0.08413988,-0.89140278,-1.1011591,0.11864194,-0.02571167,0.00106897,0.97392518,2.01215577,1.83884335,-1.2558322,3.70941997,-1.68682623,-0.67016917,1.52100623,1.14190257,0.91956443,1.37056565,0.24203309,-0.19933629,-1.04682362,-0.84748727,22.99288368,3.28e-06,-4.92937613,-4.44305515,0.4863207,0.16545738,0.0,0.0
145,57.46,86.67,5.0,0.43,22.08,110.0,0.47668585,-0.02010902,0.32092434,0.20582797,0.24583229,0.37945935,0.53805148,3.88,-0.21452293,0.89699358,1.06407058,0.23422819,0.41348892,0.45317119,-0.41954222,-0.38155693,0.22069472,0.25163978,0.38619751,0.53446627,2.9201839,1.85115266,0.89858323,0.28473121,2.26174521,0.6718899,0.58695573,1.55964077,1.66694975,1.40990341,4.35696507,0.0374967,-1.7179656,1.30190408,-0.87720168,-0.85622257,-0.96314865,1.22498536,-0.89614141,-0.51857883,-1.02452874,-0.48028567,0.9174062,0.33865253,0.53723122,0.02274974,0.21686266,3.48910499,1.33065498,-0.54678661,0.26387236,-2.29971004,0.49848047,-1.87659144,-1.41301262,-0.26783875,0.27827004,0.59797092,-1.07985926,-0.59922093,-0.64576304,0.67390096,1.39490843,-0.72409487,1.87919891,1.66321516,0.13302368,0.06825796,0.79395169,-0.82062346,2.24813581,0.28190148,-1.83443534,1.58627129,2.47466207,-1.31768489,0.82246035,0.25238061,0.25317779,0.61497282,-0.67793924,-1.7145164,-1.03657722,31.07598877,8e-08,1.84772837,0.60721028,-1.24051809,2.6359601,1.47,5.49
146,58.04,86.51,12.0,0.53,20.87,113.0,1.34487069,1.73358321,1.94646132,1.64804578,1.66824031,12.20716286,0.00049972,4.64,1.81737769,2.19238544,2.40270042,2.05374455,2.4459641,2.02957749,0.71730906,0.03515704,1.74009764,1.71320879,12.56000996,0.00041489,2.83904934,3.17989182,-0.03403075,1.46197987,2.25028419,2.2474885,2.26899529,1.93660712,0.96572822,1.89987528,5.47840548,0.01974841,0.89456809,1.84045482,1.01986957,0.08776242,3.41658282,2.94427037,1.61825275,3.34675527,2.38250804,1.94816375,10.98187828,0.00099162,0.00047829,0.02953531,0.00051121,1.35458112,1.57346725,-0.0514125,1.69494951,1.51722181,3.05260897,2.68223643,2.00746536,0.07381176,0.01443229,0.90440417,3.14941764,2.1938796,-1.85589933,0.64906657,4.85770416,1.07291377,3.02678919,2.41646719,0.25552759,0.17782699,0.67335084,1.01390123,2.07573915,1.87114358,-0.09851742,0.62819511,2.94109631,0.56247878,1.88728309,-0.28360173,0.21970196,0.63938372,-0.64489579,-1.74035239,-1.0954566,38.38869476,0.0,-1.19356656,-2.40747643,-1.21390998,1.01299047,1.45,5.41
147,58.04,86.51,15.0,0.67,20.87,123.0,4.14742613,2.14785123,3.65446424,3.47829127,3.35700822,50.69218826,0.0,4.59,4.28062534,2.89985633,1.29064226,2.87804341,4.79181814,2.02310824,4.28669882,4.6301403,3.56968737,3.40221882,50.94103241,0.0,3.80485106,0.48605886,1.98134649,3.75670934,4.2197299,3.01251197,5.66158199,2.71951342,2.20946121,3.09154582,13.51461506,0.00026934,2.37971568,3.68485546,1.14573956,4.38426161,5.15280914,5.6255374,3.96976805,3.3047545,4.74515486,3.81757832,47.39422226,0.0,0.0,0.00128511,0.0,0.63361102,-0.54903376,1.26731133,3.41256738,2.37685919,3.87459612,4.4618659,1.73738599,-1.33172488,4.87498283,0.02750713,3.5981741,1.42655873,0.12948798,6.80389547,5.22136307,3.29516125,5.98046446,3.29629016,0.16408321,0.07549366,0.78356458,4.43098736,4.15999365,2.5766468,2.95128131,5.63642979,5.7146287,3.93954301,3.55396223,0.60255808,1.01844382,0.31316709,-0.54384315,-1.7214663,-1.17762315,52.66111374,0.0,-6.35357618,-7.13362026,-0.7800442,0.80830187,1.45,5.41
148,58.04,86.51,4.0,0.42,20.87,119.0,0.23090595,1.25145078,0.20124726,1.76798069,0.86289614,2.89366531,0.08928047,4.93,0.72381222,1.80369127,-1.85503983,1.6371398,0.69032705,0.79227906,0.6993379,0.78994656,1.92285419,0.79968268,2.43059516,0.11934807,2.00619149,1.80122685,-2.34337592,2.35367846,1.98781419,2.18872023,2.00311828,3.47834182,3.54946589,1.88979518,4.90323305,0.02737532,-0.6985485,1.3442055,-0.90391982,-0.38020274,0.74919063,2.07558703,-0.24025802,1.22296345,0.6662479,0.42571446,0.4590472,0.49840512,0.06192196,0.0152964,0.4582101,-1.36332381,2.34728289,-1.08987486,3.32685781,0.45671126,2.46541929,2.88393378,0.47495726,-0.52604687,0.65783495,0.41754563,1.27221608,0.09654307,-1.95339203,-0.84748852,0.56750941,0.44075137,0.13406181,2.27952909,-1.54825652,5.70671511,0.0171109,1.38890362,-0.15333505,-2.81822324,-0.66525847,0.92225379,2.14417768,-0.78046703,2.10455084,-1.58380651,6.11556339,0.01358845,-0.29463574,-1.08473158,-0.79009587,18.03680801,3.389e-05,0.68632972,1.39725029,0.71092051,0.75323904,1.46,5.25
149,58.04,86.51,9.0,0.51,20.87,106.0,0.57806003,0.35304099,0.24410968,1.16015971,0.58384264,1.38462973,0.23963122,4.83,0.46740299,-0.60439986,-0.81829965,2.62508821,1.77542174,-0.45659825,-0.35650143,1.05988085,1.18583524,0.54143912,1.1747371,0.27872757,3.0638752,-1.26812363,-1.30953085,-0.18087962,0.29548848,0.17169443,3.32050395,3.69635677,2.06894946,1.09427512,1.72471762,0.18984735,0.04617118,0.70179451,1.1537931,1.77518141,0.20563744,-0.92773211,2.13224316,1.41278374,0.74374914,0.80404204,1.73227692,0.18876602,0.22528692,0.15339265,0.19605113,-0.01385158,0.57323855,0.78127927,-0.70805615,-1.58337116,-1.07695377,3.93721008,0.40257442,-0.7731238,1.48263693,0.22369029,1.30202734,-1.41652369,1.12545073,0.89522004,-0.2042331,-2.67479706,-0.56021565,3.70744586,-0.84156108,1.78013611,0.18247934,1.55963242,-0.73344266,-3.52883458,0.73391485,-0.34280929,1.24357951,4.57237244,1.68123674,-0.67136604,1.16161394,0.28142777,-0.32701591,-1.18506265,-0.85804677,23.63079071,2.44e-06,5.6135807,4.45044184,-1.16313875,1.65593338,1.44,5.2
150,58.4,85.84,2.0,0.41,19.02,125.0,0.78396869,1.09178925,1.0892719,1.91537976,1.22010243,5.32355452,0.02126957,5.14,1.24051607,1.68180537,0.29150206,0.57851303,0.71284831,0.28200457,2.14685678,1.06660354,1.92393374,1.10162878,4.21289253,0.04041383,-0.74473065,1.65767992,3.46278906,2.04830694,4.41412973,3.77331567,1.71233034,0.36470535,3.36534142,2.22597933,6.49562883,0.0111905,1.31174099,-0.85729349,-1.0140053,3.29670215,-1.68691599,-0.40603396,-0.03980742,1.74401414,0.76914901,0.34604806,0.25851491,0.61138237,0.01891084,0.00552009,0.59027124,2.44341111,-0.57779795,1.33603597,2.3962121,-0.67374855,1.33563828,0.10403197,2.14898539,-0.83289605,1.50360823,0.22044652,-2.60149622,0.36722726,-0.07150809,2.33544087,0.19197322,3.49919057,2.36019039,3.26291823,-0.76268858,1.2868048,0.25694794,0.7315408,0.79539949,2.01116824,1.82820535,2.06876445,0.55086714,-0.84673154,-1.42005682,-1.13184881,2.85491109,0.09145109,-0.12878858,-0.76070422,-0.63191563,10.89512444,0.00115157,0.31726193,2.63902736,2.32176542,6.0265584,1.45,4.99
151,57.78,85.18,0.0,0.5,18.69,98.0,3.2291553,0.97323191,2.43820286,2.83960032,2.37004757,17.60962296,2.986e-05,5.49,3.19605017,2.0189786,1.11312771,1.25870633,1.65964913,1.33410084,3.9538064,2.96021938,2.73842359,2.24586987,15.27965832,9.985e-05,1.07514727,0.07000091,2.00079989,3.00793052,1.62017214,0.8620953,0.95961213,1.29203761,2.02707648,1.43355083,2.21771574,0.13723075,4.74573851,1.68417537,4.19054317,4.7191968,1.82415307,1.7327373,1.1190908,2.42315602,3.41358614,2.86961389,15.59005165,9.079e-05,2.517e-05,0.08828634,3.198e-05,1.56797624,-0.19539949,1.37280524,4.12065697,-0.21492259,-2.07923532,1.50221777,1.45991337,-1.79253662,6.13822222,0.01341662,4.00835943,-0.81605321,5.29056215,2.60082698,0.28856009,3.58473754,0.13629262,5.04054308,-0.28691885,0.16033116,0.68894944,2.92595983,4.62952614,3.76610184,5.39306545,4.63251877,2.8915565,1.01626301,-0.56104541,0.37114516,0.27100447,0.60279031,-0.2044618,-0.91519409,-0.71073234,15.29218102,0.0001281,6.18066168,6.46551943,0.2848576,0.08535074,1.44,5.2
152,59.34,85.53,2.0,0.41,17.01,113.0,-0.26752585,0.05131253,1.25122869,0.68758869,0.43065101,0.60572416,0.43661079,5.38,0.90458077,0.79294336,-0.09202552,0.56180429,0.19941975,0.92673057,-0.03450137,-0.95654923,0.62307954,0.32472852,0.33206534,0.56459315,3.20628071,3.47413373,2.86563683,2.30110383,1.05736339,0.32168981,2.85286903,1.23750842,2.09784412,2.15500164,4.67186499,0.03125928,-0.71711183,-1.09222484,-0.19445324,-2.36054158,-2.17824769,-0.0235342,-1.6415683,-0.33768359,-0.51002395,-1.00514817,2.36726093,0.12458154,0.5082223,0.03172823,0.17140738,2.29075098,1.381428,0.78038788,1.38145018,-2.45795631,-2.03320503,-1.83492255,0.37698415,-0.62485772,0.77703965,0.37828985,-0.58327395,0.23947798,0.9763062,-1.62701035,1.2406075,1.95577776,4.11057615,3.69581652,0.60099292,0.72845721,0.39361704,0.88567674,1.50590789,0.52215606,0.31768778,-1.63701928,-0.12072957,-1.0722152,-3.01322913,-0.93192589,1.77010119,0.18371579,-0.32369044,-0.88183939,-0.55814892,9.21836472,0.00273227,-4.92897511,-3.45444584,1.47452915,1.80491865,1.45,4.99
