x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
4.59,-5.77,0.00,0.36,88.00,142.00,2.00,4.33,155.00,16.05,0.69,4.63173389,3.18761563,3.70999956,3.90036559,3.85742879,50.21283722,0.00000000,5.46,4.02978039,6.69799423,1.83307922,4.12306452,3.53525710,5.56750536,3.38587928,1.70618951,3.82851338,3.85250616,50.01373672,0.00000000,3.50565004,0.37504625,-3.13060379,53.53896713,0.00000000,70.90711975,65.20296478,-5.70415735,0.74634129,6.28,0.00,
4.29,-5.58,1.00,0.23,88.00,142.00,3.00,4.11,150.00,18.70,0.65,2.62788343,1.79846263,2.30135155,1.31019235,2.00947261,12.21714401,0.00049649,5.76,2.09634042,4.33609581,-1.01033914,2.23909497,1.15346050,5.03789377,2.09219456,2.41428733,1.24251390,2.17577124,14.36681461,0.00016044,1.36551559,-0.91658127,-2.28209686,70.04573059,0.00000000,-2.59605622,-5.22379494,-2.62773848,7.15765095,6.28,0.00,
5.34,-5.82,0.00,0.32,88.00,143.00,1.00,4.57,142.00,16.91,0.67,4.98291779,2.57046413,10.00794792,3.57978272,5.28527832,3.57147455,0.05909911,28.04,4.59769583,-3.64201427,14.42594242,7.22043943,22.45431900,-4.43388939,-1.23759222,7.04054928,3.30097938,5.51963377,3.90635443,0.04840845,7.46370077,3.39405727,-4.06964350,39.36535263,0.00000000,4.17536020,0.38142115,-3.79393911,45.94574356,4.37,4.74,
5.08,-5.58,0.00,0.31,88.00,143.00,2.00,4.30,150.00,11.38,0.71,9.86176682,8.81566429,7.05786419,7.85219383,8.39687252,143.06724548,0.00000000,7.04,6.76996899,10.03807831,7.13898134,8.05066967,9.18166637,8.44645023,8.49272156,9.74192047,7.78117847,8.39622211,139.00994873,0.00000000,3.44949222,0.17962569,-3.26986670,63.88294983,0.00000000,56.98154449,30.12780190,-26.85374260,9.47241688,6.28,0.00,
4.74,-5.29,0.00,0.19,88.00,143.00,3.00,3.96,149.00,17.16,0.76,4.37414646,2.75216079,4.00056505,4.08030367,3.80179405,36.88499832,0.00000000,6.28,2.62814331,6.36307430,3.64517713,1.91456699,4.51486254,4.75387478,4.18661737,1.75052691,4.02740908,3.75005198,35.45313263,0.00000000,1.20869565,-1.07826507,-2.28696084,79.20381165,0.00000000,-1.85184574,-3.48014569,-1.62829995,2.06624413,6.28,0.00,
-7.10,4.52,8.00,0.86,88.00,143.00,18.00,8.15,116.00,2.62,0.68,1.23130918,-1.79862297,-0.10389041,-5.81324005,-1.62111115,0.23209544,0.63009078,33.74,-10.89947701,6.07776785,1.51446891,7.53155470,2.09759831,-8.35622025,-10.56603050,8.83349705,-6.32233095,-1.11989808,0.11005946,0.74015360,-4.92319441,-8.68755722,-3.76436329,136.59579468,0.00000000,-18.56672096,-27.72046661,-9.15374565,3.81809211,3.47,1.40,
-7.03,4.48,12.00,0.91,88.00,143.00,19.00,8.09,119.00,4.57,0.58,-0.07126361,6.65433025,1.09092414,-3.92803621,0.93648863,0.17214245,0.67831295,22.63,1.56228626,12.23021603,-7.21063423,7.76290751,-5.46574354,2.54945469,0.83905154,8.27271557,-3.85054755,1.85255742,0.67153853,0.41273243,-7.23139429,-11.00837421,-3.77698016,106.57994843,0.00000000,-36.93830872,-39.75629044,-2.81798124,0.33556601,3.47,1.40,
5.51,-5.55,2.00,0.19,88.00,144.00,1.00,4.42,144.00,15.00,0.69,-0.53066945,-5.80278349,0.23738779,-3.81159639,-2.47691536,1.07287884,0.30057247,23.98,-0.44808865,-9.84749603,-1.22638309,1.40934026,9.00612736,-0.94426781,-11.55657196,-2.31413150,-4.26230145,-2.24039888,0.87231869,0.35056443,6.12244797,2.24902868,-3.87341928,23.96696472,0.00000167,5.14546013,2.57290554,-2.57255459,11.84307384,4.39,4.60,
5.34,-5.28,0.00,0.22,88.00,144.00,2.00,4.16,148.00,12.90,0.78,1.89361918,2.36776328,0.72985554,1.19563007,1.54671705,4.95335770,0.02628547,6.97,-0.36794856,-0.08802318,2.16031265,1.28046894,1.70140684,0.13596536,2.56437254,5.28327036,1.20221984,1.53979695,4.87283897,0.02753394,2.58123350,-0.46375588,-3.04498935,44.66957474,0.00000000,-25.63916588,-30.27670670,-4.63754177,0.31156033,6.28,0.00,
4.89,-5.04,0.00,0.12,88.00,144.00,3.00,3.81,149.00,19.20,0.74,5.54901552,4.12755537,4.36417580,4.74811888,4.69721651,62.87725449,0.00000000,5.94,5.05461454,6.17560673,5.69937992,3.62565374,4.17397594,2.73764420,4.82864523,4.97501278,4.78924561,4.66863537,60.97227097,0.00000000,0.66769058,-1.44631505,-2.11400557,64.00634003,0.00000000,-5.50607777,-7.06999111,-1.56391323,2.15896440,6.28,0.00,
5.49,-5.03,0.00,0.11,88.00,145.00,2.00,4.04,136.00,14.83,0.81,-0.43637994,-0.48831689,-1.55282140,-0.37547719,-0.71324885,1.32208014,0.25052249,6.22,-0.16457947,0.12445472,-0.95514613,-0.73084044,-1.84870696,-0.58995795,-0.99812710,-1.63667297,-0.34867072,-0.79345542,1.59571111,0.20683885,0.95866859,-1.62151062,-2.58017921,21.55652809,0.00000532,39.85321045,39.24407196,-0.60914153,0.00447753,6.28,0.00,
-5.91,5.67,6.00,0.88,88.00,145.00,19.00,8.24,156.00,5.16,0.60,-3.66973138,-10.79708099,-3.85497737,-11.11116886,-7.35823965,12.91643715,0.00034327,20.53,-7.61180449,-2.70753860,-6.48072624,-9.04088116,-9.59862232,-5.89733887,-6.73906708,0.60807770,-11.21895695,-6.51424122,9.86090088,0.00174332,-6.11059666,-8.99089241,-2.88029552,58.10932159,0.00000000,-24.56965446,-14.70432663,9.86532879,8.34409523,3.59,1.18,
-5.21,5.85,8.00,0.84,88.00,146.00,19.00,8.09,173.00,3.96,0.63,-4.65341997,-9.59884453,-9.83644867,-5.71783209,-7.45163631,8.99076748,0.00278761,24.92,-12.39663124,-7.31624889,-12.21716785,-3.09290743,-13.72804260,-2.99968696,-9.30239773,-3.69407320,-6.04428625,-7.85785007,9.80084324,0.00180054,-5.39548635,-8.89780712,-3.50232029,98.01967621,0.00000000,-5.66056156,-8.63579845,-2.97523665,0.44188607,3.64,1.09,
-5.51,6.92,2.00,0.26,88.00,147.00,17.00,9.02,174.00,12.30,0.79,2.97658014,0.14710741,1.29395199,1.77974486,1.54934609,3.20799279,0.07361304,8.67,0.27941301,-0.23314297,0.56376779,0.88674551,3.41484475,4.47689295,0.16361937,2.18320394,1.60565329,1.48085070,2.87138915,0.09051258,-2.61088490,-5.07682180,-2.46593690,83.33536530,0.00000000,4.07871389,1.39955497,-2.67915869,3.10595489,6.28,0.00,
-5.39,6.72,6.00,0.68,88.00,147.00,18.00,8.82,177.00,8.32,0.77,5.86642408,5.49771023,3.26351047,8.42303562,5.76267004,23.28506470,0.00000164,11.97,6.00978756,3.48675394,2.65984750,7.43518591,5.90175962,2.35933781,8.39860535,1.93209887,8.43535328,5.17467880,18.48534775,0.00001899,-3.36435676,-6.51078463,-3.14642763,112.22264862,0.00000000,-5.82345867,-5.97670555,-0.15324676,0.00655933,3.62,1.09,
-5.01,6.22,9.00,0.81,88.00,147.00,19.00,8.31,172.00,5.40,0.70,3.61205077,4.75240326,1.78953850,6.15922642,4.07830477,2.73964930,0.09823257,24.70,-0.93194860,11.48104191,5.49977016,6.19208336,0.93577963,1.67798197,8.00925541,-7.33835363,6.15691900,3.51676083,2.01889539,0.15569810,-4.50793314,-8.56114578,-4.05321264,133.93917847,0.00000000,-11.83469391,-8.83776951,2.99692488,0.56194216,3.64,1.09,
-5.68,7.50,0.00,0.10,88.00,148.00,16.00,9.53,152.00,12.53,0.79,2.03387237,1.28544152,3.22303152,2.38634205,2.23217177,11.49932957,0.00072632,6.60,0.48794118,3.02529263,2.40967512,2.37404871,2.13317585,0.84430218,2.87223959,3.52523541,2.34711671,2.22211194,11.12951756,0.00088438,-2.17989922,-4.35170460,-2.17180538,74.04582214,0.00000000,-3.83043599,-7.27215052,-3.44171429,6.63149881,6.28,0.00,
-5.51,7.34,0.00,0.40,88.00,148.00,17.00,9.35,161.00,11.54,0.79,4.79261065,4.93456411,3.16158056,4.33762693,4.30659580,33.50659943,0.00000001,7.46,4.04632854,6.54984617,3.27704716,3.18334055,2.63342738,3.91663694,4.38579607,6.07196951,4.38739634,4.26814842,32.30009460,0.00000002,-2.57541227,-5.23557186,-2.66015935,94.57204437,0.00000000,-6.62760496,-9.32026768,-2.69266224,3.00425720,6.28,0.00,
-5.10,7.00,0.00,0.70,88.00,148.00,18.00,8.95,172.00,9.37,0.79,3.96602750,6.79199362,3.35409427,4.88276434,4.74872017,19.44688034,0.00001158,10.80,-0.52169859,5.80857897,4.77401447,6.53809977,1.20090008,3.37208652,6.17414665,9.27889824,4.88281345,4.60737038,18.19593620,0.00002204,-2.98656821,-6.33743334,-3.35086513,112.82072449,0.00000000,2.86911011,-3.21481347,-6.08392334,10.59630966,3.68,1.01,
-4.66,6.67,0.00,0.79,88.00,148.00,19.00,8.56,170.00,6.42,0.77,0.48275709,2.10921621,0.23913276,5.06176710,1.97321832,1.05711782,0.30414788,19.24,-9.50951672,-1.72802389,2.66944742,4.16583967,1.78746617,5.34741497,4.72978973,-1.38441384,4.76572514,1.20365393,0.39104968,0.53190651,-3.82151151,-7.92105293,-4.09954166,122.19235229,0.00000000,15.65194798,8.09067822,-7.56127071,5.72716856,3.70,1.00,
2.81,-7.59,0.00,0.21,89.00,137.00,2.00,6.06,134.00,24.31,0.89,0.43175212,0.52070373,1.13920844,1.11822629,0.80247265,3.31233644,0.06909152,4.42,0.43241006,-0.01017105,0.86842096,0.03948276,0.74058157,1.91202080,0.59132224,1.26875353,1.10848939,0.77159542,2.99734068,0.08374363,0.08219787,-1.61692905,-1.69912684,13.03943443,0.00036219,-4.82405996,-3.42309666,1.40096343,0.60646641,6.28,0.00,
2.49,-7.32,0.00,0.25,89.00,137.00,3.00,5.83,132.00,20.46,0.81,0.83360869,0.90827739,0.96720600,0.80612826,0.87880510,3.67765093,0.05546063,4.59,0.21893343,0.62127703,1.70354092,3.78567457,-0.92790747,0.11529361,-0.72938991,2.29798293,0.76372278,0.87125319,3.66292596,0.05595242,-0.27518678,-2.10650039,-1.83131361,37.38238144,0.00000000,-4.33067703,-9.44151306,-5.11083603,30.05202484,6.28,0.00,
3.50,-7.65,0.00,0.23,89.00,138.00,1.00,6.06,144.00,16.19,0.61,37.86903763,37.91821671,35.63610077,28.28402710,34.92684555,32.19021606,0.00000002,61.72,19.09320259,70.11354828,22.19941902,65.03874969,72.84210205,24.58896637,3.04488826,13.61836338,26.40576553,35.18089676,34.25124741,0.00000001,2.80257559,0.88618946,-1.91638601,7.55339003,0.00638458,-5.78989172,-10.45706558,-4.66717386,48.80566788,6.28,0.00,
3.06,-7.37,0.00,0.36,89.00,138.00,2.00,5.81,144.00,20.35,0.82,2.01665139,0.91378009,2.34504771,1.93208027,1.80188990,16.81570053,0.00004489,4.41,2.44106388,1.57930720,1.91644728,1.12633395,0.58867168,3.03276753,2.24551702,1.63720179,1.94176269,1.83250713,16.98654175,0.00004112,1.00004387,-1.21898031,-2.21902418,22.48572350,0.00000340,-5.60271072,-4.22857141,1.37413907,0.47025833,6.28,0.00,
2.70,-7.09,1.00,0.39,89.00,138.00,3.00,5.56,148.00,22.08,0.82,0.99991423,0.33420286,1.26369202,0.13828716,0.68402410,2.86039734,0.09112898,4.06,0.14734206,1.03540885,1.93704224,1.60980868,0.70763683,0.43410781,0.27237269,0.77408063,0.09896965,0.77886140,3.63015318,0.05705970,0.04308554,-2.09361339,-2.13669896,49.19901657,0.00000000,-3.11962223,-4.73862076,-1.61899865,3.66263485,6.28,0.00,
2.45,-6.86,0.00,0.24,89.00,138.00,4.00,5.37,147.00,21.02,0.72,0.24815267,-0.28344977,1.07892144,-0.30510759,0.18462919,0.16418445,0.68542851,4.57,-0.27141726,-0.21355058,1.82221794,0.56676126,-0.84283620,0.60668790,0.41073409,0.97323328,-0.31203589,0.30411720,0.43602073,0.50921813,-0.09713409,-1.87079239,-1.77365828,81.52997589,0.00000000,3.36968708,4.00986290,0.64017582,0.80769402,6.28,0.00,
3.80,-7.33,0.00,0.44,89.00,139.00,1.00,5.74,156.00,20.32,0.60,21.58766556,21.09119987,20.58341408,13.05179787,19.07851982,10.19628620,0.00145579,59.90,7.84602213,49.22284698,6.12642097,44.15983582,57.89209366,15.72769547,-16.45792389,-0.88733739,11.21958160,19.40826607,11.03479958,0.00093015,4.65403461,1.97576308,-2.67827153,14.53606129,0.00016964,0.18923354,-4.20240688,-4.39164019,54.48262787,6.28,0.00,
