x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
2.31,8.26,0.00,0.77,97.00,175.00,19.00,nan,73.00,20.35,0.69,0.85398245,1.35873055,1.68005276,1.06201041,1.23869407,11.26985455,0.00081962,3.85,0.48773307,2.14002800,2.09428906,1.08864021,0.81976742,1.38053036,0.88860208,1.34455895,1.01811028,1.25011086,11.23834133,0.00083366,-2.82150602,-4.22447205,-1.40296626,46.95365906,0.00000000,-5.33497715,-6.75054121,-1.41556442,3.07191825,nan,nan,
2.61,8.16,0.00,0.69,97.00,175.00,20.00,nan,61.00,23.24,0.68,0.80420667,-0.47748873,-0.32382900,0.54286796,0.13643923,0.09898472,0.75312185,4.53,-0.82761312,-0.20727728,0.17173915,0.17285259,-0.29483360,-0.14055724,0.93284380,0.36829746,0.54254490,0.07969763,0.03287514,0.85615994,-2.29678535,-3.50908256,-1.21229732,33.43285751,0.00000002,10.34985828,9.14209557,-1.20776248,2.53378797,nan,nan,
3.33,8.15,18.00,0.74,97.00,175.00,21.00,nan,34.00,20.21,0.71,2.77513838,1.63508153,2.55503774,2.14007711,2.27633381,17.48825455,0.00003164,5.69,3.01931596,1.62098777,1.01626408,2.63881493,3.32779241,3.25502563,1.64759445,2.27726722,2.15776038,2.32665133,17.89167976,0.00002570,-2.05251312,-3.00652957,-0.95401651,19.36732674,0.00001531,5.19855833,4.76300573,-0.43555239,0.16774864,nan,nan,
1.46,9.10,0.00,0.78,97.00,176.00,18.00,nan,78.00,16.48,0.70,2.42034388,3.04153252,2.51462722,2.15521812,2.53293037,26.76338768,0.00000028,5.11,2.89357376,1.75526881,3.85201669,2.88308501,2.34974933,2.52352738,3.34151220,1.63002646,2.15505266,2.59560323,27.55412102,0.00000019,-2.70689344,-4.12808084,-1.42118752,47.07341003,0.00000000,4.05440760,2.67259860,-1.38180900,2.38384414,nan,nan,
1.92,8.92,19.00,0.73,97.00,176.00,19.00,nan,74.00,17.60,0.65,1.34895957,1.35187352,1.24766016,2.42091513,1.59235215,11.51569462,0.00071918,4.90,-0.80779105,3.02757549,2.48277283,1.17777884,-0.43670616,2.72188616,2.20725799,0.37418929,2.37829757,1.45690393,9.70950127,0.00188960,-2.30741167,-3.63566732,-1.32825565,37.60811234,0.00000000,-5.21553183,-6.21959305,-1.00406086,1.20007539,nan,nan,
2.28,8.72,0.00,0.72,97.00,176.00,20.00,nan,47.00,15.40,0.68,1.65591359,1.11304891,0.29409978,-0.09284239,0.74255496,1.80824387,0.17904619,5.77,-0.84602880,2.81179595,2.14034557,-1.41731429,1.49040961,1.59808517,1.00746965,1.19495952,-0.15227398,0.86884677,2.45262408,0.11766986,-1.80015182,-2.90045381,-1.10030198,24.09797668,0.00000155,1.02900720,-1.00417411,-2.03318143,4.61731625,nan,nan,
0.14,10.26,0.00,0.84,97.00,177.00,17.00,nan,73.00,18.11,0.67,1.03551316,0.81586236,0.87297136,0.86691099,0.89781445,3.17958379,0.07488909,5.26,-0.93314862,1.60652888,1.13647091,1.43176579,0.38134325,0.96956486,0.82100260,1.93313122,0.81874818,0.90636021,3.18752050,0.07452934,-1.95642090,-3.22239876,-1.26597786,39.90799332,0.00000000,-3.76997900,-4.97266769,-1.20268834,1.33257699,nan,nan,
1.05,9.60,21.00,0.74,97.00,177.00,18.00,nan,77.00,18.62,0.67,2.20768046,2.27952075,1.56295419,2.09244871,2.03565097,13.67881298,0.00022957,5.75,0.05387718,1.06341231,1.94115853,3.38800216,1.91776836,2.26670003,3.01683164,2.70664120,2.04586315,2.04242826,13.57260609,0.00024280,-1.87473094,-3.12824464,-1.25351381,34.75458145,0.00000001,0.94516933,-2.27829456,-3.22346377,12.18243599,nan,nan,
1.52,9.35,19.00,0.72,97.00,177.00,19.00,nan,54.00,18.33,0.67,1.26252162,-0.14343590,0.44372052,0.76888871,0.58292371,1.67476726,0.19594179,4.71,-0.66813523,0.27664688,0.62672395,0.49723470,0.99330258,0.50749499,1.54436910,0.53071541,0.75481218,0.56201130,1.51715302,0.21836319,-1.68573248,-2.85589981,-1.17016745,26.53867340,0.00000049,6.17519331,3.82087111,-2.35432196,5.23752308,nan,nan,
2.00,9.14,0.00,0.78,97.00,177.00,20.00,nan,44.00,14.50,0.69,-0.05249541,-0.36348850,0.41911224,-0.04884294,-0.01142865,0.00041506,0.98375023,5.97,0.54531175,0.17216352,0.27000028,1.36182177,-0.57911521,-0.67208689,-0.06145636,-0.79353964,0.01477505,0.02862404,0.00238312,0.96107548,-1.50751448,-2.42984653,-0.92233205,14.72611237,0.00015347,0.72919500,-0.69575667,-1.42495167,1.77642453,nan,nan,
