x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
80.76,48.85,9.00,0.28,2.69,122.00,17.77399826,6.45610428,14.17337894,13.31148815,12.92874241,30.24662590,0.00000005,24.64,16.13768959,8.59831619,10.32324791,12.45341587,11.21639442,14.08246136,14.94170856,14.50899696,13.39831638,12.83832073,28.60996056,0.00000011,6.98388863,-3.73773742,5.53913689,3.78868556,8.66691971,17.31480598,15.18775082,-1.33666396,-6.87140894,5.32362890,0.02125352,27.46176910,25.87139511,4.66850662,4.88284016,12.19492912,3.28603530,10.98200798,25.62371445,0.98060334,0.10698598,0.74367444,15.84626293,3.43625045,20.28395653,25.95796967,12.00352287,24.67449188,20.84706306,20.24986649,4.45822430,2.19651365,0.13865664,0.83074713,-0.40146926,-1.23221636,29.87331009,0.00000010,6.97460699,8.74243164,1.76782501,0.49196565,nan,nan,
80.16,48.85,2.00,0.00,2.97,142.00,6.74371815,3.81948805,6.36992264,4.42734432,5.34011841,54.02507782,0.00000000,7.62,4.84752226,5.17738676,5.14088631,5.04757118,5.45415211,6.51774502,6.56842232,6.51905775,4.51486444,5.52642441,55.65801620,0.00000000,2.76790762,-0.09046474,2.15765333,1.64660776,6.77206612,5.21101189,5.52254438,6.70009899,-0.64095354,0.48661625,0.48561220,7.01849461,6.33252382,4.31783247,6.53025103,5.05531216,5.18453264,9.15594769,7.64693832,1.91981721,4.22447491,0.04011931,5.15872669,9.40676689,8.66554165,5.66595411,5.13014221,8.69338226,5.36401176,5.49483967,2.28805637,6.03701782,0.01418772,1.15316260,0.05742271,-1.09573984,27.31574440,0.00000033,2.24273157,3.89871192,1.65598023,2.08597636,nan,nan,
80.16,48.85,1.00,0.00,2.97,96.00,5.79486084,3.16531897,4.76507425,4.16603804,4.47282314,48.22313309,0.00000000,6.75,2.84681344,4.28710365,4.80926418,4.99038076,5.01020956,4.21369028,6.18917227,5.03976965,4.35283804,4.63305569,50.01398468,0.00000000,1.93160188,1.83637977,1.09413016,3.02671552,5.81066942,1.60275364,4.38194609,5.74681044,-1.02642620,1.58195651,0.20878981,2.32488203,5.83250093,3.76551080,4.16395378,3.93248129,5.35680914,5.87878799,6.52870893,0.60594726,0.53556532,0.46445788,4.06489658,5.34134388,9.39235401,6.71275806,5.70842934,4.72129917,8.31719780,2.89779210,1.60775650,3.80931497,0.05126337,0.48097980,-1.37810338,-1.85908306,71.79340363,0.00000000,0.41246024,-3.34903145,-3.76149178,15.46132183,nan,nan,
80.76,48.85,16.00,0.45,2.69,115.00,24.31201172,18.12991524,22.81544876,21.72204399,21.74485397,402.61621094,0.00000000,11.36,22.31775284,23.22304535,19.30396271,20.82523346,19.38206863,20.90753746,21.22788620,25.91822243,21.60022736,21.61236000,382.01986694,0.00000000,20.06851959,14.94444275,10.93281078,11.56386948,19.30577660,22.62248039,19.69661140,24.99405098,-3.58368969,6.90590525,0.00873044,27.55511665,31.06087303,22.17386627,20.51608086,19.56621552,13.46900463,22.78867149,26.58754539,1.12519264,0.66641498,0.41451004,19.67823982,21.86336708,25.28597260,28.27964211,21.01615906,28.65181541,23.02548599,26.88342476,2.57008386,3.43553877,0.06411927,0.59764892,-0.74126709,-1.33891606,39.15674210,0.00000000,2.19253325,-1.04083014,-3.23336339,6.52797127,nan,nan,
80.16,48.85,9.00,0.39,2.97,134.00,13.84581184,9.89064312,13.36174965,13.73289013,12.70777416,284.09924316,0.00000000,7.90,12.24278069,12.33469391,10.58069897,14.65510750,11.53493595,12.03312778,13.61513710,12.71921444,13.88651848,12.60984612,268.21740723,0.00000000,11.28636456,6.13892937,7.78664827,8.99630737,12.12731361,12.14486313,11.25996304,9.24942875,-3.83136535,16.07981300,0.00006552,15.41957664,17.78746033,8.83840084,15.92021847,11.68548107,9.17164326,10.12826347,18.26644707,-0.34947580,0.13295211,0.71547219,9.85755920,13.10554314,14.67753601,17.51343536,10.77329063,15.47616768,20.87535477,10.42072582,0.05534267,0.00339555,0.95354484,0.81240451,-0.24975118,-1.06215572,27.02272415,0.00000038,4.16219282,4.43619633,0.27400339,0.09018664,nan,nan,
80.16,48.85,7.00,0.45,2.97,103.00,5.18297434,3.65616107,4.47032738,3.66324568,4.24317694,65.83068848,0.00000000,5.48,3.95596409,4.64111805,3.80930996,3.04859972,3.89454985,5.19544649,5.56504536,5.15303659,3.66595244,4.32112169,66.49967194,0.00000000,3.72279906,4.56529331,0.97257340,-0.55026686,4.59913445,4.21649790,5.82510233,5.25865507,-0.05637206,0.00732100,0.93183206,3.29010391,5.28749990,3.61884809,4.21660662,3.42160583,4.23146963,5.67631340,5.91231298,0.80407405,1.42922163,0.23219142,5.36410379,3.73387742,6.61033964,4.74704552,4.12797356,6.80745125,5.54288816,4.47901487,1.50981474,5.06374454,0.02466070,0.54408658,-0.97021031,-1.51429689,54.41077423,0.00000000,3.64348054,2.75822139,-0.88525903,1.05405354,nan,nan,
82.79,46.05,20.00,0.59,2.90,108.00,4.69806528,2.83038139,2.92117858,5.12124538,3.89271784,37.26378632,0.00000000,6.69,3.52828956,4.31835079,5.34695816,3.74073172,2.38347483,2.09256411,1.71200252,3.99743080,5.01612949,3.56708860,30.51944733,0.00000004,5.87598991,3.50400925,2.53952813,0.99832428,2.60606813,1.67534769,-0.13129069,4.64729118,-2.27423334,7.93260527,0.00495629,0.64259654,4.35123825,8.35228252,2.79777098,2.65526915,2.34872293,1.34148431,0.68269897,-2.19163203,7.23487329,0.00727612,4.14941597,4.23735046,5.72562408,6.72266960,3.08856106,2.48564005,4.28689194,6.96643209,-0.36526686,0.19979611,0.65498789,1.01061344,-1.26688766,-2.27750111,119.74551392,0.00000000,4.43781424,-0.09695622,-4.53477001,27.27981949,nan,nan,
82.79,46.05,18.00,0.48,2.90,132.00,2.86689854,0.52687991,2.80291462,3.28048825,2.36929536,16.04290771,0.00006675,6.20,1.69134748,3.42969346,1.33716869,2.53179049,1.69859445,1.63429689,2.94101143,1.60492671,3.36393285,2.24583673,13.88415051,0.00020594,-1.49360299,1.90667427,-0.53402680,-0.29403752,-0.87010944,2.14960146,1.78659332,1.87042010,-2.76121616,13.54160213,0.00024653,4.13627434,3.53590727,3.55486608,3.00475073,5.06136465,2.20341802,1.18498492,0.02169656,-0.44663930,0.34616739,0.55643133,2.36414385,4.38032627,0.78167593,4.09318399,1.27171826,1.42189574,6.90032291,2.63188362,-0.40040985,0.28039935,0.59656396,1.27220356,-0.35703304,-1.62923658,76.26832581,0.00000000,2.64906216,5.55874300,2.90968108,7.25179625,nan,nan,
82.87,45.39,3.00,0.00,3.19,144.00,3.57307768,2.21431327,3.48135209,3.80737710,3.26903009,24.56549644,0.00000085,6.91,2.97589588,4.93275833,1.17187011,2.28320599,2.55426836,2.31953955,2.69418979,5.33069134,3.71573234,3.10557485,21.73691177,0.00000358,4.77967739,5.43847656,-1.31395328,-1.20553935,0.76327330,2.61928844,2.20690060,3.30467725,-1.58502913,3.62376165,0.05726352,1.63896716,5.94074631,3.06246638,1.07576370,5.97495461,3.82307339,1.27177107,4.82561493,-0.25980765,0.09436244,0.75877047,2.04799700,2.07340693,2.23542142,6.28448009,2.06588602,1.47500157,5.47518778,7.60798883,-0.16790479,0.03966480,0.84218024,1.67601430,0.35103762,-1.32497668,54.21493149,0.00000000,0.78799665,1.61595941,0.82796270,0.64014792,nan,nan,
82.79,44.88,0.00,0.00,3.43,122.00,9.28635788,4.54917669,7.53046131,4.22767830,6.39841843,64.28709412,0.00000000,8.37,5.70662785,5.26575613,7.41983175,7.50549126,4.49657679,8.07752800,11.01002598,8.44608593,4.47556400,6.92678690,72.98891449,0.00000000,3.90461850,0.50478035,1.58368087,2.94136858,1.50433743,7.63423920,10.68205643,8.23777962,0.32832012,0.10693251,0.74373624,7.18537426,5.53152084,6.56432915,9.98708916,2.66850090,1.61465323,14.66447735,13.13623810,3.17893457,9.90606880,0.00169896,6.74561453,10.31824970,13.39560699,7.98079586,9.36522770,14.35709286,8.26369762,3.70948958,4.93743467,23.61566162,0.00000138,0.77955550,-2.01430082,-2.79385638,165.02719116,0.00000000,3.68493366,6.45024109,2.76530766,6.85045290,nan,nan,
82.79,44.88,0.00,0.45,3.43,141.00,3.43635511,2.69329929,3.94959807,3.43709731,3.37908745,33.19827271,0.00000001,6.15,3.56840301,4.85865974,2.45358396,3.33773923,2.73898649,1.97299802,3.70127630,4.46966457,3.43758082,3.38981700,32.58274841,0.00000002,5.26353550,2.41940236,2.03034282,3.83388615,2.11144924,-1.63225067,2.12271118,4.95428371,-0.72306556,0.95096105,0.32972435,2.40793777,6.63350439,0.63608384,3.60033202,3.39095449,6.03409195,3.30153847,4.88952160,0.55617839,0.54796493,0.45933428,2.17445111,4.92322922,5.19055414,2.10389948,3.26836681,1.05361867,6.18568230,3.18390083,0.02451148,0.00110232,0.97352112,0.98678315,-1.01547301,-2.00225616,108.90469360,0.00000000,-2.78201556,-1.62935829,1.15265727,0.93237370,nan,nan,
