x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
3.15,6.44,0.00,0.26,81.00,160.00,7.00,4.66,nan,23.87,0.65,0.01702707,-0.51459318,0.10653354,-0.79018402,-0.29530415,0.48340091,0.48705661,3.99,0.34851798,-0.43365535,-0.26136884,-0.71761960,0.05732810,0.83141124,-0.58918339,-0.56643444,-0.82913786,-0.23977579,0.31542468,0.57450404,0.26473308,-0.21919532,-0.48392841,24.63505745,0.00000119,3.42017055,2.77768040,-0.64249033,1.15433347,6.28,0.00,
3.86,6.23,0.00,0.27,81.00,160.00,8.00,4.87,nan,24.44,0.63,0.31557778,0.25580117,-0.60294831,-0.92051560,-0.23802124,0.28538075,0.59332149,4.18,-0.40890646,-0.21238792,0.65167797,0.00462320,-0.17080174,0.39809456,-0.10747129,-0.53667164,-0.98271686,-0.15146619,0.11372054,0.73602268,0.11496193,-0.41449732,-0.52945924,27.66594315,0.00000028,1.01344144,0.85311455,-0.16032690,0.05287529,6.28,0.00,
4.36,6.31,1.00,0.39,81.00,160.00,9.00,5.15,nan,25.76,0.63,-0.00826962,-0.72052872,-0.94629210,-0.65857410,-0.58341616,1.50602436,0.22005205,4.46,-1.11758852,-1.17705750,0.18585446,-0.36447456,-0.12118156,-0.29612407,-0.94568849,-1.01668596,-0.73609591,-0.62038368,1.68063867,0.19515744,-0.08183388,-0.67312807,-0.59129417,34.82437515,0.00000001,0.25521913,-0.71836913,-0.97358829,2.69046307,6.28,0.00,
4.77,6.48,0.00,0.30,81.00,160.00,10.00,5.43,nan,23.70,0.57,1.28422737,0.59037924,0.46403718,1.31426692,0.91322768,3.66395593,0.05590293,4.48,-0.02741274,0.24957496,0.63388067,1.10415661,1.62132955,0.59084076,-0.32333052,2.03450632,1.25419486,0.79228920,2.74303222,0.09801265,-0.23966195,-0.88408935,-0.64442742,43.42547989,0.00000000,1.20945907,-0.00792056,-1.21737969,3.53686142,6.28,0.00,
5.40,6.48,0.00,0.21,81.00,160.00,11.00,5.74,nan,21.59,0.60,0.60559058,0.64268267,0.58475167,1.73719728,0.89255553,3.90023494,0.04856977,4.24,0.80127656,0.45400426,0.23251325,2.30193853,0.83544070,-0.04105448,0.38163167,-0.14573711,1.68403697,0.72194964,2.54220104,0.11117597,-0.38262373,-1.00295389,-0.62033015,40.96915817,0.00000000,3.76858640,2.88520098,-0.88338560,1.38049936,6.28,0.00,
5.93,6.31,3.00,0.12,81.00,160.00,12.00,5.95,nan,23.45,0.67,-0.91977191,-1.23332489,-0.72311175,-0.74956888,-0.90644437,4.16506720,0.04154292,4.17,-1.13127911,-1.79970574,-0.87319040,-1.69905341,-0.82216769,-0.35349905,-0.40952986,-0.38682061,-0.71502620,-0.90912020,4.15210247,0.04186215,-0.56941354,-1.04491627,-0.47550273,22.91778374,0.00000272,4.55750561,4.65590477,0.09839907,0.01926851,6.28,0.00,
4.44,6.75,0.00,0.29,81.00,161.00,9.00,5.39,nan,21.31,0.57,0.14187583,-0.18060625,-0.62734163,1.01919496,0.08828072,0.03549655,0.85059937,4.40,0.09102682,-0.66788864,0.07597926,-0.60242569,-0.61719769,0.24622750,0.04594056,-0.64934331,0.96240771,-0.12379536,0.06874027,0.79323723,-0.16058996,-0.48839286,-0.32780290,10.05640984,0.00168381,2.67943430,2.15330362,-0.52613074,0.53556782,6.28,0.00,
4.87,6.97,1.00,0.20,81.00,161.00,10.00,5.70,nan,21.64,0.61,-0.23514134,1.01558840,1.01918423,0.99393076,0.69839054,2.20332146,0.13804683,4.42,1.11079574,1.24978983,1.30678165,-0.19368926,1.32009506,-0.69521612,-0.36988419,1.75785518,1.18571782,0.74061930,2.46089077,0.11704876,-0.30062217,-0.68017185,-0.37954968,13.81099606,0.00024328,-1.08468843,-0.48466313,0.60002536,0.80423182,6.28,0.00,
4.54,7.06,0.00,0.13,81.00,162.00,9.00,5.59,nan,19.29,0.55,2.00608110,0.70645428,0.76965410,1.26693547,1.18728125,4.83128595,0.02818942,5.07,1.35471761,1.50455463,0.79337436,0.45906526,0.81267494,0.91094500,1.86279809,0.90496576,1.16445541,1.08419824,3.95963836,0.04689275,-0.40603501,-0.47818738,-0.07215235,0.47049499,0.49331714,-2.17050838,-2.33847499,-0.16796660,0.03699038,6.28,0.00,
7.02,2.98,0.00,0.13,82.00,152.00,15.00,5.36,nan,27.61,0.73,0.43680730,1.07495618,0.69945103,0.81544358,0.75666451,3.88649511,0.04896698,3.60,0.72262865,0.46479431,1.25027263,0.22870930,1.09154022,1.11485970,0.11289831,1.09817016,0.86698359,0.77154511,3.99470496,0.04593073,-0.39491686,-1.00333917,-0.60842228,31.80884933,0.00000004,-2.65410662,-3.02328467,-0.36917800,0.35432109,6.28,0.00,
7.31,2.90,0.00,0.12,82.00,152.00,16.00,5.52,nan,24.62,0.78,-1.22386730,0.75488585,-0.63304257,-0.60740823,-0.42735806,1.19669712,0.27426128,3.67,0.07065114,-1.11916018,0.23144129,-0.56352562,-1.27927160,0.69126552,0.25046700,-0.52628672,-0.51391393,-0.30617499,0.59960777,0.43892223,-0.43077347,-0.82951832,-0.39874488,12.68858433,0.00043105,0.42485452,1.34229362,0.91743904,1.27656794,6.28,0.00,
5.78,3.20,0.00,0.12,82.00,153.00,12.00,4.65,nan,22.11,0.83,-0.11463950,-0.92131317,-0.32614285,0.22377422,-0.28458032,0.42660800,0.51381677,4.09,-1.57325637,-0.26672769,-0.29585510,0.66045648,-0.92668748,-0.90689051,-0.05777219,-0.19716720,0.19775014,-0.37364265,0.72923762,0.39334775,-0.00354857,-0.72605324,-0.72250468,51.58856201,0.00000000,0.37504956,1.57614338,1.20109391,2.54004216,6.28,0.00,
6.06,3.30,0.00,0.17,82.00,153.00,13.00,4.86,nan,27.99,0.79,0.27855003,0.55754411,0.16351223,0.57899290,0.39464980,0.92148006,0.33733194,3.86,0.78613204,0.36700925,-0.06101710,0.70381349,1.00990343,-0.60932732,0.48841476,-0.09450589,0.57006556,0.35081419,0.72183508,0.39575873,-0.17232628,-0.90920925,-0.73688298,54.35920715,0.00000000,-1.10816574,-2.23866773,-1.13050210,4.18546534,6.28,0.00,
6.51,3.45,0.00,0.19,82.00,153.00,14.00,5.18,nan,28.81,0.76,1.02766788,0.94499856,1.15831137,1.14359450,1.06864309,7.75733805,0.00545632,3.60,1.36274016,0.43437266,0.93843222,0.62151289,1.10617971,1.09622014,2.03612447,0.91309875,1.16712058,1.07401395,7.77290249,0.00541046,-0.31055596,-1.00566351,-0.69510752,48.12757492,0.00000000,-1.49155164,-1.00389588,0.48765579,0.74081665,6.28,0.00,
6.69,3.43,0.00,0.19,82.00,153.00,15.00,5.29,nan,26.48,0.70,-0.02068890,0.31420597,0.49566483,0.60857755,0.34943986,0.65690494,0.41785859,4.05,-0.08878984,0.91709548,-0.33171308,-0.31387162,0.35726324,0.49499634,0.27049968,0.93364245,0.65130746,0.32083774,0.54781419,0.45939681,-0.43616986,-0.99271703,-0.55654716,29.40210152,0.00000013,0.94693255,0.45080137,-0.49613118,0.48475301,6.28,0.00,
7.01,3.30,0.00,0.14,82.00,153.00,16.00,5.45,nan,20.62,0.74,0.42502740,1.02999604,-0.11421368,0.64107341,0.49547079,1.08812416,0.29715370,4.46,0.25057530,0.26989359,0.18264833,0.84337312,0.52873826,0.87568992,0.63175416,-0.19736791,0.58161223,0.44032779,0.84500724,0.35820418,-0.62667173,-0.94884974,-0.32217804,9.32956696,0.00246813,-0.50979501,-2.08187914,-1.57208407,3.98870540,6.28,0.00,
