x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
1.42,7.47,0.00,0.24,106.00,194.00,13.00,3.03,142.00,18.94,0.71,2.36282396,2.08656144,2.23934913,1.37746704,2.01655054,17.84168625,0.00002631,4.70,2.19473267,2.23486781,1.29550207,0.52218705,3.58036733,3.56277251,2.05982399,3.11814523,1.45765829,2.22289228,21.49875069,0.00000404,1.57669532,-0.92783719,-2.50453258,262.45471191,0.00000000,0.08630706,-2.51757836,-2.60388565,7.68840647,2.52,4.25,
1.21,7.81,9.00,0.47,106.00,194.00,14.00,3.10,103.00,23.49,0.67,2.99400949,3.67346025,3.16444087,3.74612141,3.39450788,63.07574463,0.00000000,4.21,2.39206600,3.66233325,3.33271432,2.89112449,3.84326386,3.50647306,2.28783154,4.23246002,3.75237346,3.31897116,59.19044495,0.00000000,2.07312393,-1.39789772,-3.47102165,332.44381714,0.00000000,5.81394005,2.96296048,-2.85097933,15.75760651,2.52,4.25,
1.00,8.03,15.00,0.74,106.00,194.00,15.00,3.13,140.00,10.58,0.68,18.24473572,16.55369186,16.78050041,17.29993629,17.21971703,289.57714844,0.00000000,9.96,14.60781288,19.47183037,18.20786285,19.66335297,11.40397167,16.47167969,13.30402660,19.41674232,16.69548225,16.56594658,269.63961792,0.00000000,2.57033205,-1.62991822,-4.20025015,325.69757080,0.00000000,6.62558031,-3.68602872,-10.31160927,50.73886108,2.48,4.06,
-3.04,9.89,15.00,0.65,106.00,194.00,17.00,3.45,188.00,17.75,0.73,6.37908316,5.24757195,5.93692541,5.99559975,5.88979530,167.78666687,0.00000000,4.48,6.23163605,7.14769745,6.79904938,5.65222645,5.22230005,5.56831026,4.52713776,5.28440237,5.95620203,5.81517458,160.68449402,0.00000000,2.40432310,-1.29372537,-3.69804859,279.67749023,0.00000000,2.76728868,1.33468628,-1.43260229,3.46340370,2.35,2.88,
1.89,7.54,2.00,0.36,106.00,195.00,13.00,3.20,150.00,19.58,0.68,0.36623427,0.64041102,0.74234766,-0.12907115,0.40498045,0.73809481,0.39048768,4.64,0.60852599,2.11658049,-0.26637742,0.26666668,1.51116443,0.10320414,0.25308451,0.83819354,-0.02892717,0.59963477,1.59209824,0.20733664,1.60337627,-0.99185777,-2.59523392,280.45626831,0.00000000,1.56424212,-0.93205726,-2.49629927,10.06083107,2.53,4.41,
1.80,7.83,0.00,0.56,106.00,195.00,14.00,3.28,93.00,21.67,0.68,1.30470252,1.22756732,2.69348288,1.91202915,1.78444541,16.42604256,0.00005470,4.33,1.18319631,0.94378793,2.12881923,2.11625767,1.41564512,1.56735170,2.56006694,1.05461514,1.77334595,1.63648260,13.40612125,0.00026466,2.16054630,-1.39192760,-3.55247378,361.12796021,0.00000000,5.13014317,0.71343738,-4.41670561,25.39133072,2.53,4.41,
1.46,7.97,17.00,0.76,106.00,195.00,15.00,3.23,143.00,17.55,0.69,8.78518486,7.96207380,8.47611237,7.94194078,8.29132748,243.71002197,0.00000000,5.23,8.03377628,8.49222088,8.58858013,8.33763409,6.03502846,8.12095451,8.48642635,9.62224293,7.74060965,8.15377998,232.19602966,0.00000000,2.66973639,-1.59592140,-4.26565790,363.84082031,0.00000000,6.95474958,-1.73400950,-8.68875885,79.20774841,2.52,4.29,
-2.85,9.78,20.00,0.79,106.00,195.00,16.00,3.40,163.00,19.44,0.79,9.94883633,8.39474010,9.44597626,9.22648239,9.25400829,343.81106567,0.00000000,4.91,9.34733486,9.77964592,9.24535465,9.64542961,7.14107847,7.80241632,9.67777920,10.12897205,9.06911373,9.08392143,325.33523560,0.00000000,2.82855773,-1.53143966,-4.35999727,333.91577148,0.00000000,5.00682783,-1.72770071,-6.73452854,79.01525116,2.27,2.85,
2.19,7.79,0.00,0.73,106.00,196.00,14.00,3.38,125.00,20.04,0.69,2.13195729,2.27257609,1.67974210,2.36270046,2.11174393,19.34324455,0.00001215,4.73,3.08252025,3.06309867,1.28724754,1.45218885,1.24389386,2.79412675,1.95289576,2.08779073,2.42456388,2.15210414,19.72307587,0.00001000,2.02994490,-1.18501925,-3.21496415,330.15866089,0.00000000,1.99486160,-1.65735888,-3.65222049,23.07632065,2.56,4.58,
-0.04,7.36,0.00,0.21,107.00,190.00,14.00,2.62,187.00,17.45,0.73,2.17862225,2.06269550,1.81301188,1.16704309,1.80534315,11.96447277,0.00056623,5.14,3.17742133,1.47430480,3.08553863,1.68513966,1.75635207,2.67687845,0.79664183,1.73000729,1.21400785,1.95318842,13.77006245,0.00021861,0.17919561,-1.16243303,-1.34162867,103.20381927,0.00000000,-0.58736724,-2.58063912,-1.99327171,4.72194433,0.00,0.00,
-0.56,7.68,2.00,0.28,107.00,190.00,15.00,2.66,186.00,21.34,0.67,3.37498546,2.97516131,3.32406330,3.22659278,3.22520065,58.62400055,0.00000000,4.15,3.92920661,3.52270937,3.07373977,2.29082346,2.78021646,3.93555927,2.85259151,3.55821228,3.23195052,3.23842621,57.93116760,0.00000000,0.31402156,-1.23235714,-1.54637873,140.27919006,0.00000000,-0.97453916,-1.40137517,-0.42683604,0.34629786,0.00,0.00,
-0.98,7.95,4.00,0.25,107.00,190.00,16.00,2.72,207.00,21.91,0.67,3.12752223,2.27314997,2.82450986,3.46148014,2.92166543,45.75615311,0.00000000,4.25,2.40401721,3.28014803,2.79935431,3.28930116,1.04850614,3.10173488,2.27591872,2.48094368,3.28126788,2.65969229,37.20740128,0.00000000,0.43189257,-1.10578704,-1.53767967,152.16560364,0.00000000,0.75188684,-1.63936603,-2.39125299,9.39199257,0.00,0.00,
0.64,6.99,0.00,0.17,107.00,191.00,13.00,2.63,198.00,19.44,0.72,4.02161741,2.49884105,3.54849052,3.33741140,3.35159016,47.36326599,0.00000000,4.79,3.41372776,3.38461494,3.25814486,3.17261386,2.71774101,3.50444269,3.03133607,3.56868911,3.23721933,3.25102687,43.13935089,0.00000000,0.53954220,-0.83583158,-1.37537384,100.48680115,0.00000000,-2.58873630,-6.79066420,-4.20192814,18.97993088,0.00,0.00,
0.20,7.38,0.00,0.39,107.00,191.00,14.00,2.68,176.00,21.10,0.72,4.61114979,4.47004032,4.69856834,4.26032925,4.51002216,90.95471191,0.00000000,4.65,3.78824568,5.18038177,4.38530064,5.07864761,3.97657943,4.76145077,4.69487238,4.18801260,4.14871120,4.46244431,87.08716583,0.00000000,0.56056488,-1.15547037,-1.71603525,139.25463867,0.00000000,3.26643682,1.80339515,-1.46304154,4.22507381,0.00,0.00,
-0.41,7.76,0.00,0.51,107.00,191.00,15.00,2.72,181.00,17.37,0.68,8.81850433,7.21447802,8.39064693,7.23429394,7.91448069,203.59558105,0.00000000,5.46,6.67947674,8.99280643,7.59118748,7.18507910,7.20471144,8.60796165,9.80641747,7.95497274,7.03282690,7.88715410,198.50099182,0.00000000,0.65611058,-1.25883150,-1.91494203,156.71299744,0.00000000,2.52776289,-0.27633831,-2.80410123,11.06248569,2.47,3.72,
-1.05,8.16,8.00,0.46,107.00,191.00,16.00,2.80,185.00,17.00,0.63,9.84529495,8.64336872,9.35230637,8.16393471,9.00122643,230.21130371,0.00000000,5.84,8.97272682,8.84659576,10.13227844,9.42802525,10.32276440,6.13561630,8.98478222,11.04538822,8.22509384,9.11235332,234.28965759,0.00000000,0.71727645,-1.15072668,-1.86800313,161.57489014,0.00000000,7.89621735,6.24435759,-1.65186000,3.64102459,2.45,3.41,
1.43,6.49,0.00,0.13,107.00,192.00,12.00,2.67,188.00,18.58,0.65,0.23861887,-0.40950251,-0.30285913,-1.03254199,-0.37657118,0.37891537,0.53833110,6.02,-0.32127163,-0.99441695,-0.34600738,-0.75161129,-0.26357597,1.76348138,0.12347867,-0.71623087,-1.10467041,-0.28980151,0.21991871,0.63920957,0.78689778,-0.50218147,-1.28907931,91.31213379,0.00000000,1.19944072,0.60823750,-0.59120315,0.47072315,0.00,0.00,
1.05,6.89,2.00,0.31,107.00,192.00,13.00,2.70,166.00,19.48,0.65,2.96185493,3.29120517,2.77190447,2.65447450,2.91985965,33.02211761,0.00000001,5.00,3.83838201,1.91114378,3.29586482,2.80469680,3.45071006,1.89321136,3.85422540,3.76111507,2.78580570,3.06306219,35.71470261,0.00000000,0.84627163,-0.93596488,-1.78223658,144.35882568,0.00000000,8.03989029,4.57140779,-3.46848297,19.24083519,2.50,4.07,
0.60,7.31,9.00,0.52,107.00,192.00,14.00,2.75,159.00,14.71,0.65,12.75844860,9.92938423,12.33007145,10.72421551,11.43552971,308.90798950,0.00000000,6.40,11.18764305,13.05233002,12.35226822,12.10201550,9.80290699,10.44662571,11.57068348,10.88061523,10.46920109,11.30693626,292.10833740,0.00000000,0.81384939,-1.41674066,-2.23058987,172.78598022,0.00000000,-2.61539912,-6.71566725,-4.10026789,16.22001648,2.50,4.07,
0.01,7.71,14.00,0.71,107.00,192.00,15.00,2.78,166.00,7.14,0.64,5.60626173,5.04608250,6.04419899,5.52279711,5.55483532,11.62462044,0.00067811,16.04,3.27166677,1.22488260,9.98579788,8.55657673,4.71447659,3.18064761,3.75503302,5.92536640,5.16620064,5.08165216,9.58553696,0.00201873,0.88522446,-1.59608793,-2.48131227,171.39334106,0.00000000,-10.13590145,-13.38682747,-3.25092673,1.47836137,0.00,0.00,
-1.15,8.38,15.00,0.72,107.00,192.00,16.00,2.88,181.00,6.92,0.65,1.15696788,-0.93730670,0.95242852,-1.01633823,0.03893788,0.00063822,0.97985046,15.41,-0.18756612,-1.02179432,-3.86336684,5.13261127,-0.63236523,6.79230261,-3.59081721,-2.42520070,-1.49001658,-0.14276966,0.00829570,0.92744767,0.96901357,-1.41535032,-2.38436389,168.22897339,0.00000000,-27.47742081,-30.27517319,-2.79775262,0.64397174,2.42,3.39,
-1.79,8.75,0.00,0.61,107.00,192.00,17.00,2.99,200.00,16.87,0.66,13.02155209,9.10969067,12.29350281,11.11559963,11.38508606,331.89242554,0.00000000,6.15,10.64300537,9.89886665,10.75447273,10.98848820,8.93327332,14.79966068,12.05964088,10.61229897,10.62780285,11.02424335,301.90695190,0.00000000,0.93205845,-1.08535421,-2.01741266,174.42266846,0.00000000,-5.24678993,-7.20250368,-1.95571363,5.93193483,2.40,3.03,
1.53,6.82,0.00,0.18,107.00,193.00,12.00,2.82,187.00,17.41,0.66,1.76075053,0.10245427,0.47994277,1.37103009,0.92854440,3.08303761,0.07943353,5.21,-0.02539561,1.65544653,-0.09976145,1.67155218,0.53984505,1.14371181,-0.12039742,0.56822705,1.25127876,0.73088026,1.85966098,0.17298731,1.02258682,-0.59011644,-1.61270320,129.94812012,0.00000000,4.92380381,2.08286142,-2.84094238,12.09184361,0.00,0.00,
1.33,7.05,0.00,0.40,107.00,193.00,13.00,2.85,153.00,21.04,0.63,2.81390238,2.37506342,2.37588477,2.16918159,2.43350792,33.78209686,0.00000001,4.12,2.34942555,2.99214911,2.31519866,1.84638655,3.06677628,3.70396423,2.73394299,1.55442667,2.18156195,2.52456546,35.75004196,0.00000000,1.14944994,-1.10016620,-2.24961615,194.63078308,0.00000000,2.97518730,1.20450699,-1.77068019,4.08743191,2.52,4.25,
0.96,7.31,10.00,0.63,107.00,193.00,14.00,2.84,122.00,16.83,0.63,8.44493484,7.79482031,8.54064083,7.55581331,8.08405209,252.48374939,0.00000000,5.01,9.27666855,7.76872635,8.83059311,7.94735050,6.57254267,8.17372990,7.75836945,9.01888371,7.47462034,8.08318520,248.13619995,0.00000000,1.20316517,-1.71826959,-2.92143488,227.38568115,0.00000000,0.70393699,-3.65441942,-4.35835648,20.91114235,2.52,4.25,
0.54,7.58,16.00,0.83,107.00,193.00,15.00,2.84,150.00,4.91,0.64,16.36294937,12.67676830,12.84332180,13.00550270,13.72213554,40.25135422,0.00000000,21.29,17.77166939,8.40326500,10.44926262,16.77250290,10.96583557,13.65298462,16.38781548,16.42992020,12.94124317,13.73896980,39.59014130,0.00000000,1.34179926,-1.97101498,-3.31281424,219.30830383,0.00000000,-12.02943802,-4.54605722,7.48338127,3.73781610,2.48,4.06,
-2.43,9.13,18.00,0.83,107.00,193.00,16.00,3.13,167.00,6.95,0.68,25.52116013,15.75164318,19.62420845,19.63753891,20.13363647,155.11346436,0.00000000,15.91,17.15325356,21.23970413,27.55424309,17.24425125,19.29470634,16.52243042,20.23639297,18.87594032,19.20756149,19.68346214,142.92643738,0.00000000,1.44365060,-1.68249273,-3.12614346,205.54666138,0.00000000,7.32534122,3.94084120,-3.38449979,3.55462885,2.34,3.06,
-2.33,9.18,10.00,0.63,107.00,193.00,17.00,3.15,192.00,18.34,0.67,4.50750446,2.95481658,4.01238012,3.90997100,3.84616804,51.08216476,0.00000000,5.30,2.32986712,4.12929678,3.72033286,3.45822167,2.91756606,5.63658619,3.01920819,3.65279913,3.64905214,3.60893536,44.06960297,0.00000000,1.35397410,-1.20444882,-2.55842304,205.94886780,0.00000000,3.81667161,2.89578462,-0.92088687,1.12702715,2.35,2.88,
2.59,6.09,0.00,0.09,107.00,194.00,11.00,2.93,194.00,19.72,0.72,-1.14601636,-0.27702242,-2.84035230,-1.94028294,-1.55091846,9.33081436,0.00231591,5.00,-0.81706601,-1.54453480,-2.41739297,-0.70793337,-2.58307052,-1.04196787,0.48286572,-1.74912632,-1.85873342,-1.35830247,6.93804693,0.00857548,0.74281430,-0.62779671,-1.37061095,87.94764709,0.00000000,0.95778412,-1.00468338,-1.96246743,6.68576860,0.00,0.00,
1.92,6.73,2.00,0.23,107.00,194.00,12.00,2.91,181.00,21.68,0.66,-0.15105723,0.28550518,-0.56358129,0.43894187,0.00245213,0.00006787,0.99342875,5.28,-0.25459537,-0.22823909,0.44953021,0.03056279,0.20153356,-1.82099879,0.44308954,0.44268405,0.53091955,-0.02281200,0.00176430,0.96650468,1.15403605,-0.73643982,-1.89047587,168.73258972,0.00000000,1.29571784,0.80881214,-0.48690575,0.43272290,0.00,0.00,
1.64,7.00,5.00,0.42,107.00,194.00,13.00,2.92,133.00,20.12,0.65,1.33346140,0.85215235,0.98352903,-0.07969580,0.77236176,3.19492698,0.07418443,4.25,0.29533824,1.74527442,0.58499694,-0.48514691,1.96647048,2.05445099,1.58415222,1.09092474,-0.06448533,0.97368932,5.02408361,0.02522762,1.41366827,-1.23722172,-2.65088987,251.79904175,0.00000000,5.04702377,2.46983790,-2.57718587,10.22351170,2.52,4.25,
1.44,7.26,0.00,0.65,107.00,194.00,14.00,2.95,110.00,20.70,0.64,4.49035406,4.52322721,4.17835093,3.78758073,4.24487829,84.37690735,0.00000000,4.55,4.31107903,4.44232893,5.48786783,3.69255662,3.41810441,5.04611778,3.45580411,4.81570005,3.72371459,4.26165342,83.62859344,0.00000000,1.65274727,-1.85918856,-3.51193595,298.67782593,0.00000000,-3.41986132,-6.50093508,-3.08107352,18.20853996,2.52,4.25,
