x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-7.28,2.27,19.00,0.84,109.00,154.00,9.00,2.66,nan,11.92,0.52,7.05221176,6.87168026,8.36009407,7.94004393,7.55600739,97.01940155,0.00000000,8.14,6.58287191,6.09907150,5.93741751,8.43995380,8.66486073,8.03164959,7.30837965,8.27083492,7.92314911,7.46565914,93.36119080,0.00000000,-2.90128136,-3.60154366,-0.70026243,16.26744080,0.00007044,-0.46905425,2.03679609,2.50585032,3.89954042,0.52,3.30,
-8.85,5.73,12.00,0.44,109.00,155.00,2.00,5.11,nan,13.02,0.78,2.99148536,2.61307716,2.49958467,3.37851381,2.87066531,19.98256874,0.00000875,6.82,1.27602994,2.48061872,0.56650573,2.95363450,3.55163097,3.05070806,2.64327431,5.23975468,3.37565660,2.79029727,18.82388496,0.00001587,0.91421235,-2.99537110,-3.90958357,129.50830078,0.00000000,5.57043076,-1.29049551,-6.86092615,38.79699707,0.09,3.46,
-8.57,5.39,14.00,0.59,109.00,155.00,3.00,4.67,nan,13.31,0.72,5.31286955,5.69353008,4.85401821,5.60276985,5.36579704,64.91255951,0.00000000,7.07,3.62522674,5.47142839,3.48644686,5.76753330,4.65504551,6.07743692,5.54537678,7.99362183,5.62254095,5.35515690,64.40299988,0.00000000,1.16135383,-2.72218513,-3.88353896,138.61636353,0.00000000,7.01672888,0.31003004,-6.70669889,31.41677666,0.12,3.36,
-7.97,4.90,18.00,0.73,109.00,155.00,4.00,3.90,nan,5.24,0.55,21.56381989,18.95335388,23.03063774,18.16762352,20.42885971,139.71194458,0.00000000,18.34,15.65924358,23.05432892,21.71541977,19.67818832,11.26038170,27.19555283,25.00957298,27.75366592,18.66220284,21.08872986,151.03413391,0.00000000,1.06748581,-2.07106757,-3.13855338,125.74355316,0.00000000,29.29135895,17.93680191,-11.35455608,14.86152554,0.25,3.30,
-7.52,4.35,0.00,0.81,109.00,155.00,5.00,3.24,nan,12.18,0.52,7.32862329,7.93943787,9.65360260,8.51269531,8.35858917,101.65612793,0.00000000,8.80,5.78074789,10.23170948,8.48657417,6.37141752,5.06277561,10.08715153,9.28421402,11.99398232,8.66659641,8.43213367,103.99118805,0.00000000,0.35509720,-1.53645837,-1.89155555,76.87102509,0.00000000,0.25078401,-2.15501428,-2.40579820,3.64501238,0.25,3.30,
-7.26,3.77,16.00,0.72,109.00,155.00,6.00,2.78,nan,18.62,0.55,6.11182642,5.52523327,6.02688360,5.53881407,5.80068922,157.28564453,0.00000000,4.91,4.47519732,6.62492990,5.09570265,5.26148605,5.62054539,7.29334021,6.09395123,6.88366413,5.56712675,5.87366962,160.50292969,0.00000000,-0.70730960,-1.57501030,-0.86770070,24.35992432,0.00000135,-1.11108375,-3.48416972,-2.37308598,9.66572857,0.40,3.21,
-7.05,3.25,0.00,0.67,109.00,155.00,7.00,2.48,nan,19.40,0.62,2.12936854,1.32126296,3.58312607,2.79485321,2.45715261,23.96923637,0.00000115,5.33,1.00177813,1.07830799,1.39302254,3.01462770,3.14712691,2.84102178,3.22842860,3.17652583,2.87103248,2.41445780,22.71499634,0.00000217,-1.72843659,-2.07880473,-0.35036814,4.75851393,0.02995948,-0.75944424,0.23350298,0.99294722,1.48672533,0.48,3.21,
-6.76,2.70,17.00,0.77,109.00,155.00,8.00,2.28,nan,13.72,0.60,5.72938538,4.88181686,5.60238981,4.89720535,5.27769947,58.49378586,0.00000000,7.32,4.50740957,4.82961607,6.09255505,6.03535032,4.26019859,4.81677818,6.09199381,6.95631981,4.99429464,5.39288139,60.31959915,0.00000000,-2.48414993,-2.67671633,-0.19256639,1.53278327,0.21670000,-5.43362236,-5.75770140,-0.32407910,0.06601027,0.54,3.22,
-6.72,2.51,19.00,0.84,109.00,155.00,9.00,2.29,nan,11.68,0.60,5.85555792,4.75000572,5.34055805,4.71229029,5.16460276,57.81799316,0.00000000,7.21,4.74662876,5.16509008,5.62475061,4.78702116,6.17534351,5.29300928,5.06029606,5.82209682,4.72378397,5.26118040,58.95390320,0.00000000,-2.95135188,-3.17621851,-0.22486657,2.13027263,0.14550117,-2.51224804,-0.85444939,1.65779853,1.76614380,0.54,3.22,
-8.43,5.78,17.00,0.66,109.00,156.00,3.00,4.85,nan,10.55,0.69,9.76690960,9.15693855,10.83375359,7.89829206,9.41397285,95.59484863,0.00000000,10.22,7.12116814,14.40843010,10.16540051,7.58510065,11.28285503,11.04166889,8.37173557,9.50897121,7.76006746,9.68423939,101.04549408,0.00000000,0.68580848,-2.77225780,-3.45806623,145.98843384,0.00000000,3.42211342,-4.95702314,-8.37913704,32.21194839,0.12,3.23,
