x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,5.00,0.20,111.00,0.63196802,0.48896751,-0.55032098,-0.56410098,0.00162840,0.00000000,1.00000000,8.38,0.85327003,-0.15778854,4.30771637,2.68797207,-1.91941714,-1.20538807,1.10695100,-1.04619586,0.27015987,1.01127434,0.76738870,0.38127623,2.07712603,-5.07357359,-3.98601007,2.61456394,3.01103401,-3.09200621,0.26838669,0.09841698,0.03937810,0.00115947,0.97284459,-0.43327829,-1.19799268,1.21725225,-3.77146125,2.98351812,1.23216510,3.11314654,1.74683285,1.25855374,1.23335397,0.26707318,0.60084271,1.32816112,0.72731841,4.31564331,0.03878865,-8.20587158,-7.94182968,0.26404181,0.02432260,4.89,0.72,
0.00,0.00,1.00,0.11,116.00,-1.35715580,-3.05931115,1.16031873,-0.29913539,-0.88882089,0.37148169,0.54236099,13.84,0.48276114,-4.29112959,1.87093163,-13.46230412,-8.81795692,2.32906818,1.29045665,-7.89429522,6.91211796,-2.56929994,1.85542762,0.17351816,2.50360751,10.72529984,-3.67061019,2.32356000,14.60500336,-1.01607502,-4.78252268,-11.25751686,1.60884476,0.75579894,0.38489448,-9.41382980,8.60087013,7.40881014,-5.24815130,-4.27234697,-8.29978848,8.14924622,-8.82163715,-1.16035771,0.39724860,0.52868484,-6.89520502,-4.80885267,2.08635259,15.60110569,0.00010187,9.79628849,8.99341488,-0.80287403,0.15338401,5.79,0.79,
0.00,0.00,0.00,0.00,111.00,-1.58406281,-0.19836731,-1.67114794,-4.13051176,-1.89602244,2.13016582,0.14479546,12.33,0.22400166,4.85720253,-3.00066376,2.90870523,5.85798502,-6.73407364,-4.81167507,-8.52939701,5.02462816,3.77837420,5.01916933,0.02532860,-0.32590488,1.71570909,-5.86686897,1.10470223,-6.07313061,-7.45124483,-5.13826132,6.10388947,2.12952828,1.63405299,0.20149605,7.41723824,2.37474751,-4.26507950,-1.15691900,5.08844805,-10.39797878,-9.14862919,-1.15138006,2.41168189,2.13570046,0.14427824,-2.67754364,-0.97038901,1.70715451,14.98066425,0.00013881,-5.66509962,-3.96024585,1.70485377,0.94295508,5.79,0.79,
0.00,0.00,1.00,0.00,106.00,1.10189247,0.07360882,-0.61171931,-0.83540791,-0.06790651,0.00362543,0.95200135,10.82,0.92305811,1.43472910,3.85368156,-2.36252356,-5.17424297,0.19705647,1.04638541,3.50504851,0.36189589,1.08790267,0.53336990,0.46539691,0.93978852,2.29134774,-6.15616035,2.61695004,-1.34308779,-1.29976487,3.42976665,-5.31561422,0.26989657,0.03401931,0.85371022,-5.20195150,1.70968306,7.80812120,-0.47102350,0.40076530,-0.56550813,4.24829817,1.04061317,1.96669090,1.81516707,0.17825251,-1.46177447,0.11431634,1.57609081,15.02278709,0.00013592,-2.78856874,-1.45325291,1.33531594,0.47194976,5.67,0.77,
0.00,0.00,3.00,0.18,101.00,-17.71103477,-13.97863770,-10.92749214,-15.50801945,-14.53129673,14.65238667,0.00013878,36.02,0.00013062,-16.20326424,-11.21065998,-21.17092133,-1.66645014,-8.61545944,-6.36589670,-16.44068527,-32.71060944,1.26696706,0.06521384,0.79849977,-8.91648865,-20.65805626,-8.28223705,-11.80026054,-18.44725990,-0.71485043,-26.07360840,5.51731157,4.15213966,0.72213662,0.39568580,-17.31576729,-35.01171112,-43.94530869,-4.24372768,-10.73300076,-31.14726448,-3.62069798,3.46726346,-2.48646450,0.26490775,0.60690357,-2.41706681,-0.29233515,2.12473154,13.75029182,0.00025741,-0.19538215,6.84244108,7.03782320,2.06589127,5.81,0.77,
0.00,0.00,3.00,0.16,107.00,-6.14590406,-2.85686278,-6.08072042,-6.60457468,-5.42201567,12.23617935,0.00049310,14.71,0.00079141,8.08257580,-2.63192940,0.96380556,-9.01560307,-1.01172829,-0.17532727,-14.46901131,-4.77165222,3.69987154,3.37871528,0.06639605,-4.05446196,-3.61309814,-5.68515491,-8.85791683,-14.41470432,0.45406118,-6.85255957,-6.13566923,0.36801603,0.03407110,0.85360017,-1.38943338,-0.89696133,-9.54724789,-3.79065323,-4.79666996,-14.70963383,-6.64787102,-7.20478392,0.27904046,0.01973118,0.88832409,-1.48328590,0.51081759,1.99410343,17.72040749,0.00003576,-24.88346863,-19.51469612,5.36877251,4.80249310,5.59,0.73,
0.00,0.00,0.00,0.15,84.00,-6.70055819,-7.75399876,-5.67408562,-6.95519304,-6.77095890,21.12346268,0.00000496,13.98,0.00000711,-7.41250086,-5.55958748,-10.56742859,-11.67015171,-10.62993813,-8.56067085,-5.92100334,0.06589334,-0.63273907,0.10811743,0.74237954,-6.31721020,-6.40378904,-5.43739367,-2.28794336,-5.49250460,-12.68685913,3.17810750,-9.26011181,1.39476252,0.54261833,0.46155505,-5.24645329,8.36980915,-7.64576960,-17.64651299,-5.95860243,-9.47652054,-6.54575491,-11.95434475,0.16807841,0.00814002,0.92813223,0.90141022,2.65252829,1.75111806,19.57591820,0.00001446,10.15140247,14.18281841,4.03141594,3.08683085,5.56,0.67,
0.00,0.00,6.00,0.31,105.00,3.37507224,2.13465810,6.08728886,7.39296627,4.74749613,1.97783899,0.15998458,32.03,0.19605796,8.15389633,5.18439865,4.47050285,3.52773142,-29.71891785,10.75554276,6.65939713,8.33187389,-5.43571949,1.53250003,0.21608310,17.81092453,-5.63560104,3.51036000,14.58144951,31.33480644,-3.20999384,11.70054722,-16.97047806,-0.84753680,0.03860119,0.84428832,7.28469276,-1.61146498,-9.39541149,0.10255860,19.21092033,0.80948043,13.83830929,-4.09040260,-4.13796949,0.91374248,0.33939806,-1.78809595,-0.15204063,1.63605535,5.33002996,0.02178064,-17.31817245,-23.20336342,-5.88518953,0.93442190,5.81,0.77,
0.00,0.00,4.00,0.26,87.00,-19.22734070,-11.82701492,-14.29186535,-23.08960342,-17.10895538,21.56733131,0.00000396,34.96,0.00000977,5.44187117,-22.53328323,-7.33625603,-0.54846013,-23.80348969,-10.80813694,-26.89153862,-13.15567398,10.90816689,5.15017271,0.02349654,-26.30146408,-14.78296280,-13.08541107,-8.52369690,-20.62520981,-24.50493622,-11.62651634,2.76337743,8.71131802,3.37372112,0.06659673,-28.55252457,-7.52154350,-34.09703445,-10.80358410,-26.43255234,-18.82431984,-15.15342331,-17.72602654,3.54582906,0.56159860,0.45382642,-2.57198572,-0.60258925,1.96939659,10.49880028,0.00135729,-33.73346710,-28.25265121,5.48081541,1.16691208,5.59,0.73,
0.00,0.00,4.00,0.25,88.00,0.21267885,-4.44745207,-5.25162458,-4.46167564,-3.48701835,1.92321587,0.16586701,23.86,0.21551857,-0.92976135,9.27247810,-16.18852425,-1.93030739,0.02042763,-1.38771152,-1.39200985,-21.15767670,0.21010116,0.00420389,0.94831886,-17.95367050,12.14019203,7.69714403,-2.84138227,-12.76414490,-19.17351913,-11.79839134,-1.62564492,-1.17970777,0.13501702,0.71337834,-0.97346562,-3.39277124,12.07226181,-4.12593603,-5.65529156,3.79540944,0.87910694,0.66120464,4.89691210,2.29853201,0.12987210,-0.77700770,1.07745528,1.85446298,11.66275215,0.00074436,7.37259197,15.65294743,8.28035545,4.55685186,5.43,0.72,
0.00,0.00,8.00,0.45,88.00,4.28443861,0.51995659,3.80731153,1.82169652,2.60835075,0.42768180,0.51330595,37.85,0.45241342,-32.08393097,13.03100967,-7.49089527,23.05377769,4.43478394,1.23641527,8.85040951,-11.31068420,-1.76495159,0.11620599,0.73327154,12.54848385,-16.02294922,12.28386497,-3.74907017,10.15997696,25.04483032,12.74779892,-15.22787666,2.61473155,0.26133415,0.60933923,-18.15383148,-21.90935135,20.98196411,0.32203019,13.05523491,9.47062969,20.20880890,12.85809231,2.86386847,0.31720856,0.57344017,-1.61892188,-1.30189455,0.31702727,0.16977605,0.68066540,59.65361023,53.12815475,-6.52545500,1.18972492,5.83,0.74,
