x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,17.00,0.00,31.00,9.73001003,7.05349731,0.26408321,-1.75916207,3.82210708,0.78631681,0.37546758,40.90,0.25089553,2.62780929,0.12138267,25.97018051,39.41629410,-5.52112150,-27.24132156,4.40088129,5.46475506,8.33436489,2.23033309,0.13569973,-5.29558659,-9.71043682,1.04438245,3.50633407,-14.68552017,6.88534260,15.41513348,6.41461372,2.21820545,0.15947530,0.68974145,2.38172507,0.49512029,5.32123184,23.77426529,-3.79621887,4.91389227,33.93017197,10.02194214,11.34350300,4.21365499,0.04040879,-14.83835411,-14.16005039,0.67830294,0.81256211,0.36823491,10.12203598,29.10579872,18.98376274,7.32075357,0.14,0.58,
0.00,0.00,21.00,0.88,53.00,-8.21987629,-6.25155687,-5.02144432,-7.78767395,-6.82013798,2.97038531,0.08516616,37.55,0.11951908,-2.33113933,-15.16701698,16.89339256,-20.80749321,-5.20166063,-19.46264648,-6.62973070,2.93735981,1.60102093,0.09636995,0.75630702,-10.94530964,-4.33931351,-15.19617081,-14.27413845,17.44510651,-6.78421164,-6.68586302,2.46516895,3.35773420,0.43445948,0.50998926,-12.33855724,-18.29221153,7.22105360,-22.75419807,26.29065895,3.08882785,-26.98862267,-17.83658600,-0.06629641,0.00015538,0.99005754,-20.69095612,-20.30316925,0.38778719,0.19137530,0.66215362,7.37669086,8.18063545,0.80394477,0.01990404,0.00,0.00,
0.00,0.00,21.00,0.86,13.00,-7.17357683,-0.67446434,-0.87245387,-3.63522291,-3.08892941,0.84732163,0.35757292,31.84,0.36589816,2.10962057,-12.86133003,3.17510939,8.70039082,15.39345455,-13.89012909,-11.50997543,-0.97233826,2.87833238,0.43253508,0.51092760,9.25641632,10.33123684,3.88782692,3.00621629,-4.80232096,-10.10426331,-12.06438160,-9.96220398,2.06277514,0.22811104,0.63305212,-21.21882629,-13.05560684,4.82117033,-12.06311226,-3.01149392,1.47018504,-4.67776012,-9.39632320,-3.30859661,0.58980989,0.44270822,-21.82784271,-21.11287689,0.71496636,0.66147590,0.41681638,-1.11573911,-1.60578752,-0.49004841,0.00795900,0.28,0.55,
0.00,0.00,1.00,0.00,114.00,0.70404911,-1.19671202,1.07214248,-1.64740038,-0.26698020,0.06488328,0.79899960,9.94,0.95644977,-3.53520155,0.34410244,0.04535380,-2.99541116,-7.69227028,-1.23647046,-3.09933662,8.62514687,0.40885580,0.09050897,0.76360546,4.32415771,-2.74818349,4.86972475,2.24291539,0.11925253,-1.92647541,3.41861582,-1.29973018,2.64928913,3.86236525,0.04970941,-1.74469900,2.22977734,-5.90026569,-1.47061062,6.48785019,1.71735132,1.13380706,1.50097775,2.29426670,2.92883801,0.08737881,-1.96026993,-2.06662750,-0.10635760,0.07924414,0.77855815,-9.35095596,-9.15004349,0.20091328,0.00797701,0.00,0.00,
0.00,0.00,3.00,0.24,126.00,-2.19100642,0.93570560,-1.29912281,0.14460519,-0.60245460,0.55146700,0.45792455,7.70,0.27667986,2.70417118,3.74361444,1.46369910,1.52873242,-3.03035879,3.00935578,-5.68531132,2.78702068,0.66366494,0.39590850,0.52938075,-6.30372620,-2.08122516,-0.35569468,1.16300440,-2.97950935,0.23549195,5.34567785,-4.33353043,-1.20808899,1.35875666,0.24408356,-1.20671678,-3.07270527,4.15856886,0.75314772,-4.22641134,-5.52035761,-3.15836334,-3.47053313,-2.33182526,5.06335449,0.02469462,0.15001312,0.25154996,0.10153684,0.08133374,0.77573511,-2.96664786,-3.97771502,-1.01106703,0.40223861,0.00,0.00,
0.00,0.00,1.00,0.23,126.00,-3.44057465,-2.90136027,-1.44647837,-2.31519055,-2.52590084,7.87914991,0.00511549,8.54,0.00244548,-6.22743320,2.14089012,-6.30771351,-2.22112966,-8.61612892,-0.69454283,-0.86815995,0.19753049,-0.58557659,0.25100482,0.61649954,-0.62701476,0.46344811,-7.63214111,1.53301811,0.86332643,-1.33025849,-1.16650033,-3.76456881,0.92626643,0.64281189,0.42292087,-2.13932037,2.52449489,-6.90424156,-12.30862999,-4.17827892,-5.65135765,-0.70356399,-0.07265390,-1.13304710,0.98793226,0.32053416,0.87562668,0.97066754,0.09504087,0.14416943,0.70449435,6.20024061,3.67975545,-2.52048516,2.61447358,2.58,1.26,
0.00,0.00,4.00,0.32,104.00,-1.15675223,-1.05298412,-3.38623738,-2.77899003,-2.09374094,5.59748316,0.01821031,8.40,0.02106304,-7.23524809,-1.45516109,-1.83219028,6.94536257,-2.05190563,1.15213037,-6.14830065,-0.64210469,1.44191360,1.59081495,0.20755948,-4.08305073,-0.66974241,-5.90480423,-6.30835533,-3.72174549,-0.91019589,-1.44745564,-3.72657204,-0.51676863,0.20561092,0.65034647,2.22982526,1.44455492,-6.08456516,-1.71640193,-2.08975649,-4.87461662,3.75276780,-2.72586918,1.52588546,1.82362044,0.17724620,1.55887914,1.89371371,0.33483461,1.18463326,0.27746710,9.95067024,11.45384789,1.50317764,0.93316215,2.70,1.26,
0.00,0.00,9.00,0.37,102.00,0.48027197,0.47620630,-0.47460777,0.27832296,0.19004837,0.06799940,0.79433555,6.92,0.84605695,-1.42792141,-4.25161600,3.15809870,3.39231467,-0.49358708,0.48124975,0.00630433,1.56443095,0.06928179,0.00531240,0.94191401,-1.20085669,4.86475420,-5.27065039,-2.14644551,-3.96447873,0.94522274,-1.68485355,3.47588158,-0.84299523,0.82180154,0.36491362,-2.45150042,1.85978699,3.49885082,-1.98747540,5.39453173,0.50054532,-0.94099653,-1.92187464,0.21123794,0.05149762,0.82053265,1.76189709,2.17793250,0.41603538,1.48149264,0.22469345,-4.91100311,-6.86272907,-1.95172620,1.74627984,2.70,1.26,
0.00,0.00,5.00,0.32,102.00,-5.26399088,-3.06963992,-4.60824633,-5.95589685,-4.72444344,12.63354778,0.00039983,12.61,0.00075915,-4.68280458,-7.19873142,5.76980066,1.55704546,-6.80711126,3.05519867,-8.29473114,-11.40740204,2.42848206,1.99466836,0.15822354,-11.66453266,-11.70339108,-4.52259159,-1.18339527,-5.37922430,-2.59295440,-5.49584103,5.60923433,1.45723176,0.73529547,0.39141638,-3.41612005,-6.85337019,-4.90880966,-11.91646385,-1.07565618,-6.72601414,-2.69776082,-4.32370758,0.75370717,0.19501691,0.65888700,1.48029721,1.74572873,0.26543149,1.20395648,0.27359231,8.65659428,7.89526320,-0.76133102,0.14986683,2.49,1.27,
0.00,0.00,8.00,0.42,98.00,-5.82710648,-1.55229819,-4.71650028,-8.06570435,-5.04040194,8.62945175,0.00339729,16.28,0.00998182,0.49316934,1.29205287,-4.95931435,5.04768753,-5.56118536,-7.24520540,8.24344158,-9.36413574,6.67771149,8.93950367,0.00287201,-6.51839685,-0.92672789,0.95760167,-10.70533562,7.43150663,-8.21875954,-11.84031773,-7.49996424,3.45499659,2.46702170,0.11663416,1.86666632,-7.26012659,1.49116182,-6.39649200,0.68586117,-13.06680393,-6.16795635,-14.44701290,2.22139645,1.02461457,0.31171804,2.13219762,2.64811492,0.51591724,3.16613340,0.07639997,21.26358986,25.12796021,3.86436987,2.22480226,2.62,1.26,
0.00,0.00,3.00,0.20,112.00,0.09870157,0.43750620,1.10540628,-1.83910096,-0.04937172,0.00483513,0.94458010,6.73,0.77141623,2.89342141,4.39229774,-4.57261038,-0.42178795,5.02973986,-1.80803525,-0.96199530,-0.06401384,2.44557095,7.09645700,0.00787147,0.02884304,5.83782816,2.20594597,2.32643294,-4.79603100,6.41859245,-0.49338764,-3.23785520,2.86899328,10.13349628,0.00150953,-0.31620589,-0.80493635,1.75798774,0.87751526,1.57238019,-0.78434426,-0.73848903,-0.18586800,1.93873036,4.51013947,0.03398583,0.36286235,0.42905742,0.06619507,0.09640559,0.75644620,2.73487687,3.81198645,1.07710958,0.82383561,2.31,1.31,
0.00,0.00,4.00,0.35,96.00,-0.05752982,-0.54258496,-1.82284987,-0.90649360,-0.83236456,1.35323083,0.24504132,6.79,0.30471530,0.93084311,-1.05400908,-1.72936261,1.73595452,-2.29704499,1.76109445,-2.62817907,-1.70596886,0.29169068,0.09738422,0.75506889,1.05741322,-1.71458566,-0.39557269,-2.98037338,-6.18852139,-0.99933803,-3.51888323,-0.50858104,-1.10653722,1.44752383,0.22926427,2.37506318,-4.88567448,3.44286871,1.00958848,0.05406250,1.09711730,0.52308935,-2.51637268,0.92194688,1.01674819,0.31358161,1.28719223,1.66582716,0.37863493,2.85464478,0.09236199,-3.57370710,-2.77209759,0.80160958,0.36992967,2.38,1.33,
0.00,0.00,10.00,0.46,112.00,-2.31904364,1.24268210,-2.48401618,-1.51757956,-1.26948929,1.70459533,0.19204219,9.23,0.16334770,5.87900400,1.17101085,-1.74818528,-2.65018892,1.89251471,6.58283043,1.34191263,-0.97956687,2.84267378,5.04066229,0.02501813,-1.87614071,-5.53940868,-1.69555962,-2.15855598,-11.82514572,1.01329160,0.42061692,1.49942076,-1.08748066,0.76463282,0.38213221,-3.94788861,-5.02818441,0.21094018,1.12671423,-3.58797264,0.37589255,-3.71605611,-3.31435776,-0.76418811,0.37482604,0.54055083,1.79817677,2.37412238,0.57594568,4.96774673,0.02671726,-1.33245516,-1.75029135,-0.41783619,0.06063051,2.51,1.30,
0.00,0.00,13.00,0.51,101.00,-1.97673166,-1.45329964,-2.80596757,-3.80125403,-2.50931334,5.39148188,0.02047132,10.25,0.04490055,6.29159164,-1.86876214,1.28685093,0.71125811,-4.52324343,-1.87286222,-6.41227579,-6.55180073,2.26114726,2.59339809,0.10768513,-4.30331898,-5.35130930,0.99199653,-1.55682766,-8.71039295,-4.97052956,4.08659458,-2.28734136,0.99994385,0.52028656,0.47091994,-2.62404060,-3.95588422,0.14988016,-3.55191040,-2.92855906,-3.27272964,1.45233107,-0.75151533,1.86373508,1.79801786,0.18031436,1.94172382,2.58394289,0.64221901,5.26513195,0.02258942,6.95654011,8.47950459,1.52296495,1.03957844,2.51,1.30,
0.00,0.00,1.00,0.00,130.00,-1.44221961,-0.55525231,2.92537999,-1.82425952,-0.22408786,0.05764428,0.81031678,8.85,0.97158697,2.57477045,-3.77789450,-1.95571089,-0.39672491,-0.39498705,1.99547839,-2.17297673,-0.33798471,1.26265407,1.07149112,0.30090643,3.53840733,9.55903339,2.34997463,-0.60212547,7.26153708,-0.27920803,-0.84292746,1.73094833,4.69835615,15.47771072,0.00009037,0.84930646,-2.78727531,-2.78474617,-3.48773742,-2.21593118,-2.72212768,1.26827097,0.34312418,0.40139416,0.11207494,0.73787758,0.40599978,0.48062387,0.07462408,0.13230225,0.71636547,1.11359572,5.36499023,4.25139427,6.05104303,2.31,1.31,
0.00,0.00,6.00,0.30,88.00,-0.36880484,-0.03319370,1.51222706,-1.18670845,-0.01912000,0.00042319,0.98359234,8.92,0.97206658,-3.90225339,1.59342456,-4.46512556,-0.27019674,-0.18497473,6.11698866,-1.12316978,2.37204528,1.09561098,0.80125004,0.37097600,-4.56588364,9.45894051,-2.50783730,3.70647621,4.50217581,-1.44605494,3.92817664,-1.28249979,2.88640308,5.80992889,0.01614959,-1.77329195,8.89701557,-2.95293355,-5.71880102,3.14930582,0.73104018,-3.92499518,-3.34424639,0.75384802,0.39979151,0.52736880,0.98736012,1.42374754,0.43638745,4.14788723,0.04274453,-5.69628763,-4.81089163,0.88539612,0.39057726,2.38,1.33,
0.00,0.00,9.00,0.42,83.00,-4.47362709,-3.80674338,-2.31927490,-4.66514397,-3.81619740,21.97753525,0.00000321,7.72,0.00000506,-4.26541281,-0.08918855,-7.61605358,-3.60226822,-4.98873329,1.93552029,-11.03774357,-1.20629358,0.74219096,0.49668628,0.48115489,-4.15602541,2.93552303,-4.32002306,-0.09732440,-0.48803532,-3.44904923,-4.04977179,-5.49388742,2.36473250,5.12676096,0.02381354,-0.14820543,-3.40620232,-4.83526134,-9.42987347,-1.96500742,-5.81183863,-2.00978827,-8.07276249,0.20348570,0.03832914,0.84483099,1.33350122,1.96338356,0.62988228,6.85887289,0.00936130,3.72996330,4.58732080,0.85735768,0.42473322,2.51,1.30,
0.00,0.00,0.00,0.47,40.00,-1.22167528,-0.36579573,-1.74679220,-3.41098166,-1.68631124,0.32242343,0.57030518,28.18,0.62656722,-5.36341858,3.33305168,2.89961243,-9.43859005,11.34457779,3.71328092,-7.64178181,-1.18216729,2.96418476,0.58252698,0.44553757,10.54750156,-11.25653553,-10.14454269,5.65345049,-5.47635412,-16.12643051,8.18833256,3.89971828,1.35051107,0.12554628,0.72318408,-5.07939672,3.81851530,-7.56046247,4.81946945,-4.64603853,9.57926750,-12.18155098,-0.81434262,2.15187144,0.31815505,0.57286889,-4.50062799,-4.38214970,0.11847852,0.04640035,0.82962603,5.24562311,4.85855675,-0.38706598,0.00499536,0.66,0.62,
0.00,0.00,8.00,0.40,67.00,0.11446229,2.32223439,-1.77384508,4.71885586,1.34542680,0.44922376,0.50288629,19.05,0.79210840,-2.49308181,-0.02934631,2.24982810,-5.07625103,5.17425060,4.14007998,5.68762970,10.98714638,-2.28140283,0.75726128,0.38443527,0.95677167,-5.98345947,-7.71021223,14.09804821,-0.57423145,-16.49152565,2.17943430,-2.03550410,-6.65754938,6.74508572,0.00956487,-13.20792484,-1.19639385,1.73531914,8.40176678,-0.92697275,6.33422232,-0.05582146,-1.25586522,-4.63386011,3.24667215,0.07192664,-4.78305244,-4.65093327,0.13211916,0.09536533,0.75772217,-18.96335602,-16.50062561,2.46273041,0.34496287,0.36,0.57,
0.00,0.00,7.00,0.36,73.00,1.54409623,-0.17392151,0.64480317,3.76123214,1.44405258,1.10592937,0.29326811,13.03,0.40844342,5.01806831,-0.78896356,-2.04813838,-3.95766377,3.71521568,3.70479798,0.90701067,-6.46652365,-3.83214116,4.57333660,0.03276078,-2.87916946,0.63485485,1.18305230,-3.96652317,-1.94094706,5.09154892,6.88159943,1.39195681,-2.89763522,2.68939185,0.10139232,0.81856698,-1.98045564,3.47836709,3.63355517,4.97705269,-0.86410230,-1.03923070,4.61557436,-2.21017408,1.56770742,0.21088836,-4.04294395,-3.69927287,0.34367126,0.79289907,0.37408449,-4.36893797,-6.24068260,-1.87174439,0.41945511,0.15,0.56,
0.00,0.00,14.00,0.68,36.00,-9.78346062,-5.87332344,-2.55930066,3.09158874,-3.78112411,0.65030366,0.42023023,44.49,0.21344027,-9.28564835,-22.72171402,-21.64844322,-14.72636318,-11.49230099,12.89873314,6.54783726,19.05582809,-8.67035770,2.01524115,0.15609707,-17.83884048,12.16486740,-14.09397793,-3.69991732,-14.58951473,3.17159390,30.94258118,-13.52931595,-4.78401089,0.63246387,0.42667738,-22.49347496,34.59581757,-23.22388268,-29.44142342,-21.14347839,-10.46746922,-5.95538998,-12.02910233,-13.23566628,4.91308069,0.02692093,-8.16912079,-7.87858534,0.29053536,0.14122739,0.70738382,-55.49714661,-60.62699127,-5.12984467,0.48627070,0.74,0.59,
0.00,0.00,13.00,0.58,36.00,2.18598795,-1.72151148,-0.63691431,3.88720679,0.92869222,0.06297670,0.80191234,35.11,0.86883419,3.85427618,4.47154760,-8.39758301,-16.56499290,6.26711369,18.22764206,-6.80648518,-10.72088337,-5.55001831,1.32152295,0.25064572,6.39819145,14.52649498,-0.43120882,-14.33472157,-6.05499029,6.41165781,-2.40766978,-9.58872128,-4.71046591,0.97820759,0.32292619,-3.45261049,10.71816635,16.95879364,6.46908474,-4.57749796,-10.87584114,8.30044842,-4.52604103,-1.85804939,0.15310721,0.69568262,-9.05429173,-8.76783466,0.28645730,0.16908762,0.68127763,24.93233109,19.69496346,-5.23736620,0.60311884,0.60,0.59,
0.00,0.00,10.00,0.53,56.00,0.15179411,0.74830246,1.37813938,-1.41552901,0.21567674,0.00389249,0.95026712,32.87,0.93149265,-20.47429848,14.27828026,1.20093536,18.90654755,-6.43773413,0.73909253,-10.88330269,1.99933445,1.47509730,0.10715589,0.74348711,12.14614677,-9.16425610,-2.62554193,14.10833263,10.86816692,-12.77228642,-9.83989620,6.21848822,2.34263515,0.27717054,0.59870059,3.24405408,-5.06620741,2.15581012,-3.68722606,-7.33452606,4.81598520,2.62079644,4.79463625,1.75680792,0.15528187,0.69363796,-9.23338890,-8.92374516,0.30964383,0.27762321,0.59873238,2.31799221,12.96213341,10.64414120,2.79536963,0.31,0.56,
0.00,0.00,10.00,0.53,49.00,1.36152244,-2.95571899,-2.14056110,0.79172546,-0.73575807,0.04221412,0.83726147,33.98,0.86048361,-3.21928024,-16.52461815,12.47931576,-0.78926814,2.02222395,-3.51185799,8.83308601,-24.70657730,-3.95571446,0.71904761,0.39669776,-1.60233426,-1.18081927,-15.70435143,6.65383816,-5.91028404,8.60293961,6.95023155,-13.42937279,-2.61210227,0.32111934,0.57108694,-4.06130266,-7.80857992,8.47442245,1.69315207,4.29932261,-7.03300190,10.85869980,6.56097221,0.61132652,0.01768179,0.89424663,-7.58508253,-7.04839659,0.53668594,1.01143599,0.31553538,-12.83827209,-13.27523994,-0.43696770,0.00453254,0.15,0.55,
0.00,0.00,9.00,0.56,63.00,0.32696974,0.37536985,-2.51407886,-4.48679447,-1.57463336,0.29245225,0.58879536,27.63,0.76270404,24.46527290,-4.72717428,6.00768042,-3.07391715,-5.20160007,-4.38063908,-11.17186928,0.51122499,4.96478462,1.71562600,0.19061472,7.15866089,19.02935982,-3.93367863,8.35064793,-24.75725746,-6.15939093,-13.27745724,-12.85511303,0.91925925,0.06120926,0.80465515,-1.53606772,5.24942350,9.06607056,-8.38372517,9.51091385,-14.74950504,2.99964380,1.86543918,4.74631548,1.61523426,0.20410901,-5.14772415,-4.36484194,0.78288215,2.18099213,0.14098795,-10.58484173,-3.85969639,6.72514582,1.61096573,0.18,0.56,
0.00,0.00,18.00,0.79,34.00,-4.56596184,2.96855974,4.24676847,0.33221895,0.74539632,0.03884894,0.84379547,35.89,0.86262177,9.57636929,-15.34381676,3.86899781,10.81166935,-1.74149132,-6.42830896,17.69561386,5.13705254,2.87285805,0.33800304,0.56113996,12.23019314,20.93210220,-7.58403111,-1.14602661,15.71140003,-18.54203033,-0.69600290,9.54008579,3.53435016,0.52998388,0.46681627,7.39748716,-17.58526993,-2.63594604,-3.77465773,-16.38542938,-8.36454296,9.63372993,-2.09745502,-4.75142860,0.95787156,0.32800517,-13.66422367,-13.84004784,-0.17582442,0.04093561,0.83982747,-18.27696037,-9.54174042,8.73521996,1.89144576,0.74,0.59,
0.00,0.00,0.00,0.71,29.00,8.62214279,1.19559479,2.42578387,5.72864485,4.49304152,1.21285152,0.27108061,38.71,0.22558615,17.16877937,-7.75404501,3.40826297,6.36425734,-5.31795311,-7.06047916,1.65139329,0.09836807,-4.38975430,0.67598492,0.41120578,-7.53193331,22.84250641,1.81448436,-5.47026634,15.81249619,-4.09322500,1.63464320,-5.61609793,-2.93010712,0.31142822,0.57695362,25.94642258,-3.48218513,27.83939743,-24.15663719,-1.54709053,23.37885284,18.66691971,5.19135666,3.68098450,0.50209445,0.47877764,-15.42649555,-15.18068504,0.24581081,0.08736221,0.76780405,-23.41300583,-7.91469049,15.49831486,5.01623154,0.60,0.59,
