x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,Subject ID,Visual Region,Subregion,hemi,xy_dist,ellipse_a,ellipse_b,ellipse_theta,ellipse_comX,ellipse_comY,d_norm,no_vein,sig,iso0_loc,in_tgt,d_bin,all depths,odss,fgm,dsi,iso-sur,ctr-iso0
1.73,2.94,0.0,0.88,111.0,159.0,10.0,1.34,151.0,5.89,0.71,-16.7175293,-10.09174061,-8.11396599,-13.08784676,-12.00277042,25.5435524,5.2e-07,23.81,-14.24966621,-2.06343937,-19.42750549,0.72931403,-18.25322151,-16.72438049,-17.01817131,-4.82891703,-13.19412994,-11.65834332,24.18149948,1.04e-06,1.81526852,2.27519321,18.50227833,3.5235846,0.06155621,-26.6755085,-8.17323017,18.50227928,65.84380341,1.25,1.99,pnr143,V1,tgt,lh,1.8547429336599595,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9239130434782609,False,True,2.9961061499999992,False,6,True,-8.603563309999998,1.97777462,-6.6257886899999985,2.9961061499999992,-11.16933632
1.28,3.1,18.0,0.87,111.0,159.0,11.0,1.5,145.0,7.04,0.71,8.92790413,8.14655876,12.91173267,11.2796936,10.31647205,46.95162582,0.0,15.1,3.64391208,21.73965263,0.40205836,15.02803135,9.52495861,3.97340918,14.79153347,11.52655411,11.06179333,10.17780113,47.51633453,0.0,0.66342705,1.12299716,6.649778369999998,3.9462533,0.04796465,-19.78436089,-13.13458252,6.64977789,11.56836414,1.27,1.94,pnr143,V1,tgt,lh,1.940879065279438,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9130434782608696,True,True,-3.1331348400000003,False,6,True,-3.9838285399999993,4.76517391,0.7813453700000004,-3.1331348400000003,-10.00144768
0.83,3.2,0.0,0.88,111.0,159.0,12.0,1.7,152.0,7.9,0.68,10.83294678,6.8967433,13.67890453,8.01811028,9.8566761,53.83528137,0.0,13.47,3.98096442,20.10386086,6.43826294,10.80294132,9.39626026,8.13570118,10.86919689,15.02105713,7.77154779,10.26969719,58.65278244,0.0,-0.47179234,-0.69556814,0.9082899099999997,0.82664734,0.36403704,-5.01110029,-4.10281038,0.90828973,0.37354982,0.0,0.0,pnr143,V1,tgt,lh,2.0740806555309823,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9239130434782609,True,True,-1.1213669800000003,False,6,True,-2.84595775,6.782161230000001,3.9362034800000005,-1.1213669800000003,-2.9814434
2.45,3.37,13.0,0.87,111.0,160.0,9.0,1.81,142.0,5.21,0.71,2.9651587,0.27985093,-4.52246761,-2.56898522,-0.96161079,0.15076597,0.69789566,24.83,12.90254116,-3.59852314,4.34976339,-16.38588333,-2.78196001,3.77173162,4.16358137,-5.44386625,-1.90952373,-0.54746747,0.04927465,0.82438059,1.83161938,1.88239729,-3.25862884,0.03434493,0.85311115,46.15806961,42.89944077,-3.25862837,1.2108022,1.2,1.91,pnr143,V1,tgt,lh,2.535096543963653,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9130434782608696,False,False,2.84883615,False,6,True,7.48762631,-4.80231854,2.68530777,2.84883615,40.05060462
2.09,3.57,17.0,0.82,111.0,160.0,10.0,1.88,157.0,7.46,0.68,16.30883789,11.73842144,6.89808416,11.65728092,11.65065575,55.64860535,0.0,15.66,18.79597473,7.17111731,8.51122665,10.52849388,13.43001175,15.08543968,8.58963966,10.0202446,11.63744926,11.51842499,52.72745132,0.0,1.77297771,2.22881937,0.8451805199999995,3.44942808,0.06433878,22.10178947,22.94696999,0.84517956,0.19181252,1.2,1.91,pnr143,V1,tgt,lh,2.5661714782617127,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8586956521739131,True,True,0.08114051999999994,False,6,True,9.41075373,-4.84033728,4.57041645,0.08114051999999994,22.86582947
1.64,3.76,0.0,0.84,111.0,160.0,11.0,2.02,153.0,7.31,0.66,17.92202187,13.11079788,10.42115784,14.78965855,14.06090927,125.41858673,0.0,12.59,16.83302116,10.72287846,13.6051836,10.15211201,15.53688335,15.24743176,15.21497917,12.22216702,14.80402374,13.80159378,116.26003265,0.0,0.75007701,0.84603351,-4.8494091,0.15911561,0.6902805,10.1154747,5.2660656,-4.8494091,9.55971336,1.25,1.88,pnr143,V1,tgt,lh,2.6353077315861295,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8804347826086957,True,True,-1.6788606700000006,False,6,True,7.500864029999999,-2.6896400400000005,4.8112239899999985,-1.6788606700000006,6.944926270000001
1.15,3.93,0.0,0.84,111.0,160.0,12.0,2.22,164.0,7.75,0.66,7.48031378,6.61988115,6.92919016,8.14069653,7.29252052,40.42615509,0.0,11.5,4.48455811,9.52001953,6.51363277,5.55593967,4.73406506,4.90801668,12.916502,7.31046724,8.21185207,7.12121105,38.34974289,0.0,-0.27509284,-1.39406157,2.9135665900000003,16.31905365,6.943e-05,-3.48853612,-0.57496953,2.91356659,2.2192955,1.28,1.85,pnr143,V1,tgt,lh,2.770098528891251,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8804347826086957,True,True,-1.5208153799999993,False,6,True,0.5511236200000003,0.3093090099999998,0.86043263,-1.5208153799999993,0.9458458499999993
2.85,4.04,14.0,0.81,111.0,161.0,9.0,2.4,151.0,7.56,0.72,7.41906166,4.57276392,5.91610146,4.29909182,5.55175495,20.84659767,5.66e-06,12.19,5.92565012,7.5604248,5.4913063,5.8424058,1.54952502,4.7384634,7.2309556,9.71743584,4.3338809,5.81529522,22.49843407,2.44e-06,1.07370353,1.38670015,1.41981226,1.37922466,0.24124555,0.90842527,2.32823753,1.4198122,0.66723496,1.2,1.91,pnr143,V1,tgt,lh,3.315218145154487,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8478260869565218,True,True,0.27367209999999975,False,6,True,1.5029601999999995,1.3433375400000003,2.84629774,0.27367209999999975,2.0545654300000002
2.43,4.14,17.0,0.77,111.0,161.0,10.0,2.38,162.0,6.94,0.68,8.67235565,6.3795619,8.98694897,5.43792772,7.3691988,34.294384,1e-08,12.62,7.20624113,9.2264967,10.17016697,1.8139472,7.44540596,8.99428558,10.20505524,9.70919323,5.51847124,7.80210829,37.97881317,0.0,1.41579974,1.85084307,4.84774101,3.12891674,0.07801927,-1.90266383,2.94507718,4.84774113,7.04919147,1.2,1.91,pnr143,V1,tgt,lh,3.2207054970892885,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8043478260869565,True,True,0.9416341799999994,False,6,True,-0.3145933200000002,2.6073870700000006,2.2927937500000004,0.9416341799999994,2.0034430000000008
1.88,4.34,0.0,0.79,111.0,161.0,11.0,2.49,168.0,8.86,0.68,11.09931183,7.27151155,13.12992096,8.85290623,10.08841228,63.43741989,0.0,12.7,9.11043739,14.53755665,6.62219191,9.68098831,14.18094349,7.04677296,16.13724518,7.53675938,8.75019073,10.38994217,66.39008331,0.0,0.99503934,0.8033303,2.2571589899999998,0.63471651,0.4263153,-5.45194578,-3.19478679,2.25715923,2.10632324,1.25,1.88,pnr143,V1,tgt,lh,3.249933299007961,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8260869565217392,True,True,-1.5813946800000007,False,6,True,-2.03060913,5.85840941,3.82780028,-1.5813946800000007,-1.6133921099999995
