,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
1140,-0.48,-5.76,19.0,0.8,89.0,166.0,9.0,4.21,135.0,16.65,0.58,5.85514784,5.13425827,5.93207312,5.27468491,5.54904127,85.60470581,0.0,5.71,4.64910269,6.38420916,6.68655348,5.7921114,4.76013231,5.53107071,5.38545656,6.41650677,5.28571415,5.64888525,87.31223297,0.0,4.14980745,4.2382431,7.58001184,6.32967281,4.3428359,6.34325695,2.34901905,6.17805433,-0.09418349,0.01778097,0.89394864,5.95854568,7.46762896,5.20141172,6.19560432,4.05782461,4.53545952,8.90298653,5.84875488,0.65953934,0.9383961,0.332938,4.3162694,6.0716486,3.2481153,6.78072929,5.58167648,8.91591358,5.5847764,7.15493011,0.62839729,0.82666111,0.36347112,-0.29229662,-3.14585972,-2.85356331,106.22393799,0.0,6.7798481,3.05582643,-3.72402143,17.31864166,,
1141,3.12,8.19,17.0,0.67,90.0,144.0,2.0,9.33,123.0,16.92,0.81,2.420995,2.55577159,1.99373996,1.72480845,2.17382884,13.90454578,0.00020366,5.55,3.49781418,2.36489916,2.57653761,1.2926116,3.53386426,1.64553297,2.28865719,1.73668778,1.7800895,2.29955316,15.35726643,9.537e-05,4.66889,1.65154731,2.06020951,2.83098269,0.44147944,2.62982011,2.02432013,4.64024544,0.80951905,1.39333045,0.23813987,3.96952415,1.35412228,0.61050349,0.99443036,1.57786024,2.91304874,2.05839658,2.55786705,0.26735389,0.16257046,0.68689191,1.71564209,3.74500799,2.02955961,3.07326961,3.02924609,-1.72397256,3.74129653,3.69781113,0.72649014,1.17139935,0.27938941,1.11090457,-4.55575085,-5.66665554,282.39865112,0.0,0.83095133,-3.02368712,-3.85463834,15.42908669,,
1142,3.38,7.83,14.0,0.5,90.0,144.0,3.0,9.08,122.0,15.28,0.8,4.28084278,4.7240119,3.71405983,4.92332315,4.41055918,44.50035095,0.0,6.3,3.77326417,3.66422701,3.4590044,3.92621875,4.96490526,5.44251251,3.23747063,5.63657236,4.97151709,4.33740187,42.43655014,0.0,5.02199125,4.59166479,4.3111105,4.92982531,2.85469079,6.44510221,4.07369423,6.35814142,-0.21368587,0.07523341,0.78392382,6.41647625,5.42294645,2.32762814,1.93799043,3.62899399,1.01648998,4.20103741,5.67477655,-1.17780221,2.46824145,0.11650186,3.63451099,6.56687593,4.15836239,4.87997007,3.73045182,2.25420213,3.4371345,5.34779167,-0.63314623,0.68671364,0.40749325,1.24814713,-3.78585386,-5.03400087,279.85263062,0.0,1.35525036,-2.58213949,-3.93738985,18.57992935,,
1143,3.52,7.54,10.0,0.31,90.0,144.0,4.0,8.86,146.0,17.4,0.76,2.82368326,2.56149745,2.94571495,4.31851721,3.16235328,23.86623764,1.21e-06,6.16,5.2675066,2.36102366,3.10830283,3.05701423,1.89674509,2.01227641,1.83920372,3.23677707,4.36841774,3.01334667,21.49188423,4.05e-06,1.90867233,3.77848434,2.79057169,3.11256456,3.3957541,3.10055089,2.58109069,-0.4387227,-1.72813118,5.13568735,0.02366376,5.84997654,3.38705754,2.40676045,3.02425361,2.55318666,2.62602234,-1.12987721,5.0141573,-1.35444725,3.41564751,0.0648927,8.04320621,1.88210738,-0.04425333,3.90606713,-0.11273355,3.42383313,3.77315307,2.63239789,-1.4657445,3.90316486,0.0484852,1.20729446,-2.72852755,-3.93582201,232.03213501,0.0,3.14049888,2.07427764,-1.066221,1.3256681,,
1144,3.63,6.99,4.0,0.15,90.0,144.0,5.0,8.4,155.0,17.69,0.74,3.12099838,3.78221798,3.43797088,3.05437136,3.34888959,36.94978714,0.0,5.25,3.43825507,3.63048744,4.42314005,2.39180684,2.17983079,3.6143291,4.07357693,4.18330193,3.11064267,3.4460361,38.62994003,0.0,4.01378298,3.58039331,3.33392191,3.77836347,1.85715926,4.22558355,5.89323187,4.16057873,0.6895752,1.12815571,0.28843986,5.67320728,4.27510929,1.26034212,4.38380003,4.65730667,2.53554559,1.55138731,3.74846435,0.39809138,0.40612355,0.52409766,3.6853714,4.1356554,1.84958184,2.81402826,3.47653389,0.53326559,3.60496092,4.88971472,0.10108106,0.02523277,0.8738223,1.15155697,-1.62243581,-2.77399278,172.8913269,0.0,-2.17646766,-4.58074999,-2.40428233,6.48491335,,
1145,2.87,7.93,19.0,0.76,90.0,145.0,2.0,9.03,127.0,13.65,0.82,7.53238297,7.48795795,7.3277688,7.31952524,7.41690874,132.16119385,0.0,6.14,6.84924889,7.60029984,8.28331089,6.8619957,9.41618633,7.84075069,5.73434019,7.20140791,7.34267235,7.45145369,132.10684204,0.0,8.12587452,9.99938583,7.99830818,6.10903215,5.58085394,8.23713398,4.84607983,9.37850285,0.18928297,0.06228774,0.80297007,10.84529114,6.62570953,5.99346256,5.48066139,8.82548523,6.31846428,8.61626434,6.15174961,0.02913261,0.0016129,0.96797332,8.92992496,8.49140072,7.32024479,6.01031685,6.73236799,8.79920769,9.0053587,5.00275564,0.22228733,0.08909411,0.76539746,0.94148457,-5.0337162,-5.97520065,296.35549927,0.0,-2.38416362,-11.62697506,-9.2428112,69.62078094,,
1146,3.18,7.41,16.0,0.62,90.0,145.0,3.0,8.65,129.0,15.81,0.79,5.79089212,5.83761549,5.5862546,5.68125868,5.72400522,81.4139328,0.0,6.04,4.97708511,5.90304852,4.67306376,7.34170198,6.7635231,4.34387398,6.3216424,5.36774874,5.6569109,5.69969463,79.8931427,0.0,5.42315245,8.00383568,7.36272764,5.3459959,4.61823988,6.96705198,3.11593652,6.14660311,0.20097202,0.0724751,0.78782519,6.14997292,7.34620333,4.94456625,4.12421751,7.22501421,4.48708439,5.31946278,5.33989191,-0.0910199,0.01585306,0.89983073,4.49741364,3.97110319,7.99677992,4.79555607,3.4269805,9.90597916,4.96063995,6.28099966,0.12533776,0.029565,0.86351769,1.30869687,-4.32492733,-5.63362408,291.88262939,0.0,-0.2422739,-6.93952656,-6.69725227,41.04533005,,
1147,3.34,6.98,11.0,0.47,90.0,145.0,4.0,8.31,138.0,17.59,0.75,2.18350768,1.36790764,1.87985158,1.62790883,1.76479399,9.34330368,0.00230034,5.5,0.59657282,2.17162776,1.73175836,1.96707451,1.83797836,0.00629018,3.12792039,2.23082614,1.503438,1.68425703,8.41842556,0.00380021,0.79634762,1.9304086,0.77311832,1.61206269,2.45051146,1.32571948,-0.28878981,2.02084112,-0.23610352,0.1201334,0.72896685,0.93568498,5.19936895,1.67339361,1.62921834,1.95809209,1.70743883,0.95458704,1.13874102,0.23122194,0.12436479,0.72442638,4.80667639,2.57979989,4.55134821,-1.24540997,1.56715918,2.12307239,-0.51642537,2.31452584,0.50732005,0.58516496,0.44448549,1.38057423,-3.33325481,-4.71382904,250.32467651,0.0,2.60162544,-0.45582184,-3.05744743,10.05757141,,
1148,3.53,6.64,7.0,0.28,90.0,145.0,5.0,8.05,152.0,17.93,0.7,4.50261784,3.89161825,3.53242683,4.12180662,4.01211739,48.33888245,0.0,5.49,4.97010517,4.71835041,3.77286673,3.31486702,4.05833101,3.9447093,3.92827535,2.62526202,4.08872128,3.93178535,45.6672821,0.0,2.19635248,6.07784748,4.29913664,0.91105568,5.853374,3.64885139,2.96975589,4.74270535,-0.22272706,0.10800919,0.74249479,5.06522083,3.71245313,2.09533095,4.70186853,4.69458342,4.22629309,1.02334595,2.77131414,-0.59281743,0.81866115,0.36580203,5.12761116,4.43307352,5.56307316,6.39407015,4.3239646,3.6840117,3.9458766,2.58742952,0.32129753,0.23216289,0.63003602,1.32523847,-2.22312784,-3.54836631,203.15046692,0.0,2.50881267,-0.64942467,-3.15823722,11.81417751,,
1149,3.97,5.39,1.0,0.06,90.0,145.0,7.0,7.07,149.0,17.96,0.68,0.00141635,-0.70605689,0.76685685,0.71783185,0.19501203,0.12473054,0.72403743,5.26,0.3486498,0.00401103,-0.61634791,0.01827624,-0.43827868,0.14552711,0.79208994,-0.74389881,0.58561641,0.01061661,0.00034028,0.98528631,0.81953168,-0.9463675,-1.06282616,-0.63043243,-0.91035533,-2.54571176,-0.17433813,-0.58403677,-1.43051457,4.82791948,0.02824397,-0.72188658,-1.92984545,0.79118198,0.08140113,3.01837277,2.38820648,-0.48628852,2.44515634,0.04827285,0.00592773,0.93864638,0.07079813,1.38005674,0.80488372,-1.43786311,0.63969278,0.59765702,-1.66102016,-0.88049471,-0.75402081,1.39577127,0.23772948,1.21471465,-0.51743853,-1.73215318,101.58679962,0.0,2.74645853,-0.16966707,-2.91612554,12.2001276,,
1150,2.74,7.51,20.0,0.86,90.0,146.0,2.0,8.62,118.0,16.58,0.85,9.37859249,7.06241179,7.94803572,8.81668663,8.30143166,157.89341736,0.0,6.29,8.40154839,7.52825403,8.63131809,7.80701351,7.7522459,8.24315166,8.14970779,8.58567619,8.78203964,8.20078659,149.70718384,0.0,5.67619228,4.4126277,7.46090984,6.67325211,6.90438175,9.21315002,5.7853179,11.29474068,-1.78246272,5.29316854,0.02162577,8.38564587,9.9868145,4.70494413,7.13084745,11.02361298,5.7443285,8.96696854,8.70729733,-0.85354245,1.30115998,0.25428984,11.98613071,8.35439682,11.04178619,10.97481632,7.24270153,10.33567238,8.81859207,6.27687788,0.49338347,0.42052191,0.51683394,1.16948187,-5.43357325,-6.603055,326.83755493,0.0,-0.59810638,-10.04863453,-9.45052814,98.80889893,,
1151,3.06,6.92,19.0,0.75,90.0,146.0,3.0,8.18,134.0,15.82,0.86,6.63303757,6.56115675,7.28032923,7.26302767,6.93438768,123.5861969,0.0,5.94,5.72350788,6.59049988,6.33257818,6.37092495,6.33369541,8.02233219,7.83343887,7.33774233,7.21889591,6.85576153,118.99626923,0.0,4.75206614,6.620296,7.62555504,8.4172039,6.32467079,6.95238829,6.37171745,5.46252775,-0.66554463,0.81943673,0.36557514,6.88728809,6.70898771,8.81592274,6.48380756,7.66403532,6.26062441,7.02043724,8.22601128,0.03478186,0.0024599,0.96045369,7.40829945,5.94106674,7.57108259,7.06309319,3.46941137,10.11631584,6.20959902,5.29810524,-0.63134569,0.77245343,0.37968208,1.50860929,-5.04049683,-6.54910612,318.05529785,0.0,6.55576754,-2.33945918,-8.89522648,67.42455292,,
1152,3.17,6.46,16.0,0.6,90.0,146.0,4.0,7.8,131.0,15.06,0.74,7.39486933,5.99779654,6.28587627,7.15386248,6.70810127,119.50209808,0.0,5.84,6.3822813,6.78042126,6.16060829,7.5013485,6.57317781,5.99399233,6.31119585,6.58002138,7.11272669,6.59293079,112.83321381,0.0,7.30393457,7.50012541,4.49029732,6.11911058,5.11382437,5.99968719,5.71377039,5.71085787,-1.15636206,2.55326986,0.11039983,6.07295942,7.86389494,6.40281105,4.57096815,6.8526144,6.81000614,6.38947725,5.11351347,-0.88679039,1.61281872,0.20440798,6.11628103,7.0868721,8.30255413,7.14685392,8.41496277,6.89040565,7.23123741,7.71138668,0.23100431,0.10580425,0.74504431,1.54842484,-4.25793028,-5.806355,285.13366699,0.0,8.75095749,0.22969356,-8.52126408,60.17247391,,
1153,3.27,6.14,10.0,0.42,90.0,146.0,5.0,7.53,137.0,12.98,0.68,4.45150423,3.39751077,4.11799812,4.80278397,4.19244909,33.84820557,1e-08,6.86,3.74092078,4.00727654,2.75438547,3.09386992,5.00638199,3.24004078,3.04428101,6.39916468,4.71025085,3.99561954,30.4333992,4e-08,6.92173147,2.89196444,2.99738598,0.73359537,4.21904325,4.41460419,0.73380578,4.38962555,-1.4256562,2.8359623,0.09250511,6.99610233,3.58290815,5.17400312,3.02143908,5.79105568,1.65064752,3.70772815,3.00289917,-0.64580536,0.62269425,0.43024535,5.45455027,3.31664729,3.09190059,6.02838373,5.61217022,3.57005882,4.27393007,4.83705664,-0.371481,0.19853802,0.65600535,1.39802158,-3.14750624,-4.54552794,243.80563354,0.0,-0.91020399,-5.34295082,-4.43274689,12.20087337,,
1154,3.35,5.77,6.0,0.27,90.0,146.0,6.0,7.23,145.0,17.85,0.66,4.66527033,4.10176039,4.70739985,5.6907692,4.79129982,56.92305756,0.0,6.05,4.41752338,3.47188354,4.75312471,4.36063576,5.23437643,4.07812595,4.22910976,5.27021694,5.65962934,4.60368347,51.61346817,0.0,2.51778984,4.70185852,6.67731857,2.02566123,5.10267544,4.11166048,4.54914999,3.04394245,-1.58141673,4.4776125,0.0346021,5.5477457,4.91875219,2.90093374,5.12772751,6.15892553,5.96473742,2.35236287,4.69098997,-0.99418944,1.89769697,0.16866179,2.65948534,3.18438911,3.26623631,8.9639349,4.29755449,4.18900061,5.82047081,5.96594048,-0.99624413,1.85662627,0.17333863,1.21738327,-1.99963987,-3.21702313,194.8901062,0.0,0.69045222,-5.82226992,-6.51272202,40.62300873,,
