,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
428,0.62,5.65,16.0,0.63,114.0,151.0,11.0,1.17,152.0,17.05,0.42,4.50165987,3.72921896,4.08730936,4.37920427,4.17434788,47.06948853,0.0,5.79,2.95062518,5.14074945,3.61147952,6.23244476,2.42945218,2.77283335,4.78876162,4.81390524,4.33236837,4.11506081,45.62516785,0.0,4.71302843,1.96408927,6.16226959,3.12970495,1.58585238,6.80032301,2.19721937,4.59719706,-0.66081947,0.85733861,0.35472043,6.93104935,4.12013578,3.47267938,-0.32355914,2.98776436,4.39327002,2.15938282,9.06790829,-0.27618417,0.16309611,0.68641303,3.04109716,4.812006,4.38367176,6.4876976,4.05386734,3.92589378,3.6557548,5.79716873,0.1260616,0.03221057,0.85760468,0.79143286,2.62744975,1.83601689,54.45544434,0.0,2.89392996,6.04873323,3.15480351,15.6005888,,
429,0.74,6.16,18.0,0.71,114.0,151.0,12.0,1.34,116.0,22.07,0.34,3.03954816,3.24343181,3.27850866,2.39548707,2.98924398,31.03770447,3e-08,5.11,3.09413695,2.46068048,2.79703879,2.82061648,3.1424346,3.93304634,3.20135212,3.718853,2.35428905,3.05499172,31.86122513,2e-08,1.95530891,2.12246132,4.62222147,3.78588629,4.53435898,1.59619331,3.63837147,3.17715883,0.86578661,1.87648678,0.17105868,2.13018847,3.67415071,2.59981203,3.89279938,2.92088747,3.88436556,3.83079195,3.42572379,0.86973083,2.0256989,0.15498711,3.48623228,3.56398606,4.77524614,3.3743248,1.87314594,3.1059792,1.94430697,1.76377213,0.60363716,0.94740415,0.33062948,0.3587386,1.93927717,1.58053851,40.34486389,0.0,-2.26628327,0.38658482,2.65286827,18.42148972,,
430,0.72,6.47,20.0,0.84,114.0,151.0,13.0,1.47,139.0,16.32,0.34,2.97309589,2.12184024,2.33208561,1.69694495,2.28099155,13.0193491,0.0003243,6.02,1.57613432,2.64893484,2.3871057,2.14338064,3.17909837,3.07777929,2.94695282,1.72441602,1.65863347,2.36901045,13.78533554,0.00021687,0.07366338,3.60675526,3.61929941,4.50247002,0.00920315,4.68565035,0.4349415,0.75208473,0.48395431,0.42605352,0.51409022,2.41610599,2.67854261,3.03175187,-2.17944336,3.16053295,2.4154954,3.98660636,2.83622026,0.63116872,0.77494502,0.37891495,5.25551319,2.64567304,2.99471498,2.84947276,1.94074547,1.68969846,2.2702651,3.947927,1.27138162,3.02636242,0.08224638,0.10706974,1.4045198,1.29745007,25.42547607,8.1e-07,-8.10778046,-4.70410252,3.40367842,17.91674614,,
431,0.25,2.28,0.0,0.89,114.0,152.0,4.0,0.06,129.0,13.04,0.69,14.1828146,11.88076115,14.00829315,11.63996601,12.92795849,201.04348755,0.0,8.68,13.86526871,15.63605118,16.38261032,12.02579021,12.06595612,11.41110802,14.93995667,11.20296192,11.61489964,13.22505093,208.70532227,0.0,14.60472202,12.61487103,9.59714127,9.40243626,11.65891838,14.68456268,7.06869555,16.06458092,0.22226867,0.04322514,0.83534662,17.99782372,14.84059429,12.00019836,9.87278843,14.41802311,15.56542492,12.52255344,14.77484798,2.35789704,5.19567013,0.02286496,13.85551643,14.0072422,13.45824909,15.12426949,10.33728981,18.10609436,14.69374943,14.32731152,2.60317802,6.11385393,0.01358731,0.96798623,-0.3521044,-1.32009065,28.73418617,1.7e-07,-1.07591581,-0.74045998,0.33545581,0.08620138,,
432,0.26,2.45,20.0,0.79,114.0,152.0,5.0,0.01,155.0,16.67,0.63,2.04103374,1.96220386,1.80494821,2.07464933,1.97070885,9.33814144,0.00230676,6.14,1.78859615,2.35606122,0.23448808,1.67104769,2.41667342,1.80535436,2.57828474,2.42002416,2.06018877,1.92370975,8.7636795,0.00314933,0.906057,1.62448847,3.67007542,-0.04225725,3.70357037,3.91372538,1.18067193,0.97550213,-0.11214504,0.02181916,0.88260064,3.40292859,2.20559835,2.2762413,0.63350987,1.32531035,2.0898993,-1.4822998,3.80579376,-0.26267886,0.12879735,0.71976225,1.10836089,3.50927639,-0.52383441,5.08144283,2.13747334,1.81215894,1.45826209,2.63988686,-0.02495386,0.00110718,0.97346289,0.84705544,1.5138967,0.66684127,5.57097054,0.018925,-0.61301839,1.75872684,2.37174511,6.3825202,,
433,0.31,2.76,17.0,0.65,114.0,152.0,6.0,0.12,162.0,15.9,0.59,4.39675283,3.06015849,2.93587875,3.9674747,3.59006619,31.59549713,2e-08,6.08,2.89949131,2.86764884,5.49498844,2.01219916,3.87515712,4.27516413,2.623739,4.13278389,4.01762056,3.57406592,30.89382362,4e-08,5.56906033,2.61228013,1.64252114,1.99560857,3.12094235,4.56967735,2.00356865,3.30332232,-0.93496752,1.54486406,0.2142029,3.71546817,3.84952211,0.92769986,2.44272971,3.46285748,2.03425765,3.04263473,4.69019699,-1.02137387,1.97616982,0.16012249,7.05775547,5.28579283,4.88841391,1.73798394,2.17451882,6.05185604,3.22375679,4.15873384,0.43429813,0.34809271,0.55533554,1.09139609,2.88529921,1.79390323,35.53707123,1e-08,6.30654764,7.33719826,1.03065097,1.34003663,,
434,0.29,3.27,0.0,0.57,114.0,152.0,7.0,0.33,174.0,18.58,0.59,4.33194017,3.53684235,3.51758194,3.99924397,3.84640217,45.09312057,0.0,5.45,3.53276777,4.00584269,3.56178093,4.14604902,4.50056171,3.91385245,2.14768934,4.51648045,3.99193048,3.80918193,43.52333069,0.0,3.6488781,3.55304861,5.79852581,4.81851196,2.61974692,2.70750523,1.32670557,3.68717051,-0.40718061,0.36465779,0.54607535,1.68281364,4.18152857,3.19388676,2.92894793,3.25156069,3.16713405,2.82790327,7.24262953,-0.47764337,0.54085934,0.4622589,5.67389631,4.30599356,3.0526948,5.53234959,5.09571648,7.91996479,2.32639885,1.44210565,0.25713399,0.15245394,0.69628904,1.42606401,3.61937499,2.19331098,55.58393097,0.0,-2.53825378,0.89225078,3.43050456,17.35775757,,
435,0.19,3.88,0.0,0.53,114.0,152.0,8.0,0.61,188.0,15.13,0.74,6.56952477,4.56375551,6.14782143,5.99752903,5.8196578,70.47415924,0.0,6.6,6.87306356,4.11970806,6.09745216,6.70576859,4.17474604,6.81096458,4.95743084,6.69519377,5.98256159,5.81827497,69.28746033,0.0,6.42340279,5.27443552,0.4593811,4.36801243,6.23673964,4.89563322,6.17394733,2.25822568,-1.47226298,3.27085495,0.07083794,7.68684912,4.95112467,6.55048513,5.99605751,7.31825781,6.75041676,5.18431568,4.27404737,0.15224519,0.03728739,0.84692251,6.0124321,9.69118786,4.94734192,4.23419666,6.49240398,9.22460842,6.57976341,5.42915916,0.60664988,0.57572073,0.44818337,1.62588298,3.90925074,2.28336763,63.99180984,0.0,1.39928842,6.99165344,5.59236526,27.68033791,,
436,0.15,4.53,13.0,0.51,114.0,152.0,9.0,0.9,177.0,12.65,0.74,5.24426842,4.84938526,5.47950888,4.16388559,4.93426228,26.34401512,3.5e-07,9.15,5.12161779,7.51411772,8.32668209,1.98363936,2.96734238,5.58937407,4.78175068,6.02949762,4.20894718,5.16404963,28.75341988,1e-07,6.11091709,5.41478872,3.72111654,2.90508103,2.57850432,9.23434067,4.07102776,6.27327156,0.63486248,0.31456849,0.57502289,7.76613045,7.94834423,2.95974994,0.12498091,2.29798579,7.98638058,7.49935865,7.53730059,1.27593076,1.37318397,0.24156031,8.47718334,3.67746949,7.71395159,3.55249524,4.02715778,6.77627516,2.66976023,4.24295473,1.00702548,0.82277966,0.36459946,1.57441032,3.81477594,2.24036574,64.18038177,0.0,3.17739344,7.3214016,4.14400816,12.4494791,,
437,0.14,5.04,13.0,0.56,114.0,152.0,10.0,1.11,153.0,17.56,0.58,6.18251133,4.87048864,6.35046864,5.72145557,5.78123093,60.51698685,0.0,7.08,6.43163252,6.44341516,5.39996529,5.96022606,4.93462181,5.82324076,4.25870275,7.63655949,5.71332884,5.83878803,60.74204636,0.0,5.65734577,7.72571325,1.53600883,2.97183967,5.08662367,7.21408176,2.00419569,7.03596115,-0.86085159,0.97487724,0.32371901,8.47839832,6.81153059,4.65283203,7.36042833,5.48147392,3.7765584,6.94713116,8.36990643,0.66487736,0.61995584,0.43126071,9.1242609,3.56359577,5.9768095,9.0889473,5.6784482,6.7649827,5.83416462,4.14315748,0.3923353,0.20956181,0.64721608,1.28480673,3.32342577,2.03861904,57.65401077,0.0,-2.47250342,0.42138898,2.89389229,10.98627186,,
