x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,11.00,0.64,136.00,2.11387944,0.90216649,0.16779952,-0.16753335,0.75407803,2.64706540,0.10409802,4.51,0.04014041,0.24884625,0.16431109,0.58533835,0.40863159,0.94400907,0.41936642,0.79060781,1.63501763,0.51217449,0.72104573,0.75202388,2.57804656,0.10871448,1.25386405,0.13279770,0.44465709,0.15844722,0.63362914,1.06298625,1.21079278,1.14724755,0.75555271,1.02485061,0.31198777,-0.48417321,0.81997538,1.42586470,0.54462761,1.07661593,2.10470915,-0.09517092,-0.24263835,0.64372629,1.12217379,0.28999728,-0.50428081,1.67208302,0.80346531,-0.51081973,2.11179066,3.08149648,-0.07002904,0.81847763,1.01734257,2.92847562,0.08738363,0.27146965,0.02001278,-1.36310697,-1.12938988,2.48538876,-0.06465197,0.02586190,0.93227363,0.33014172,0.31106648,0.57716898,-0.72182798,2.35200024,3.09630132,0.23789954,1.89196181,3.03403187,4.14618683,2.99828053,2.27122068,15.09817600,0.00010976,-0.17194805,-0.44655481,-0.27460676,2.03947091,0.15490462,8.31844521,6.90408325,-1.41436148,3.81593347,1.34,0.75,
0.00,0.00,7.00,0.53,139.00,2.83538175,2.39626193,2.14435840,1.32374752,2.17493749,20.58387566,0.00000650,4.66,0.00000229,0.06995223,0.00000092,2.92177367,2.35959315,2.73020983,3.35186601,1.42916977,3.02100992,0.36296779,1.32932067,2.18823886,21.03345108,0.00000517,3.05905414,-0.80422109,1.01307559,2.52321172,0.56254804,2.35415792,-0.20344983,0.54683214,1.13140106,2.16667390,0.14182324,3.28940392,4.62176418,4.34651470,3.73993969,3.13687444,3.81077003,0.70204139,0.74091423,3.04852796,24.77227783,0.00000091,3.58175683,1.77375436,3.74690342,3.84545660,0.80644602,2.92201829,1.47010267,0.64056355,1.04002714,2.86127925,0.09109098,2.31400537,2.69626951,1.89550078,1.16469944,5.17089415,3.43269825,-0.43434566,0.46563888,0.79102927,1.68240082,0.19494726,0.31743580,4.01150370,2.99989057,2.51080823,2.22565293,3.66831541,3.84973836,2.88693213,1.50271654,6.13211823,0.01346269,-0.06990002,-0.27566311,-0.20576309,1.28519726,0.25836332,-1.06574690,-1.51606560,-0.45031866,0.32231185,1.29,0.72,
0.00,0.00,3.00,0.18,164.00,-0.72414023,-1.24510705,-0.29840648,0.03717692,-0.55761921,1.43094456,0.23193145,4.53,0.14086611,0.05296679,0.97732080,-0.45310864,-0.43043819,-2.22231174,-0.00833653,-1.28492117,0.05770044,0.52757490,-0.38071492,-0.52431947,1.27254045,0.25959844,-2.46681476,-0.95155013,-3.90251470,-1.05563235,-2.27051067,1.15577483,-0.48353928,-0.31484497,-1.28620398,3.18972802,0.07486545,0.55807281,0.06929977,-0.38080418,0.35807648,-0.07616104,-0.36935723,1.08671451,-0.57806903,0.08347150,0.01866664,0.89138526,-2.87761831,0.26863277,-2.80972385,-2.61444139,-0.82549697,1.92718005,-0.57430935,-2.55559587,-1.34862530,5.12916517,0.02377063,1.17251766,0.74614960,-3.66748381,0.09197643,0.42058146,-1.92452502,2.88191891,-2.15542960,-0.42950571,0.52912235,0.46717043,-4.21647549,-0.12891170,1.19401944,-0.05110833,-1.66540861,-0.43650812,-1.89960456,1.52040851,-0.68915927,1.37936985,0.24052768,0.93644869,0.98888189,0.05243316,0.10451038,0.74683823,-6.39935780,-7.18924379,-0.78988612,1.06326556,0.61,0.40,
0.00,0.00,6.00,0.33,143.00,1.21668577,0.01151507,0.38915774,0.69707412,0.57860816,2.10963941,0.14672905,3.87,0.21543533,0.27687835,0.36587990,1.00065506,-0.13677259,-0.25265059,0.64199275,-0.44545519,1.64120877,0.67180777,1.72404909,0.60560441,2.33087111,0.12719061,0.01563536,-0.40993261,-1.16727448,0.89345914,1.32247758,2.73497152,0.49708566,1.60556543,0.68649846,1.29877520,0.25512419,1.34374380,-0.18006888,0.91769141,0.28469253,-0.70781314,0.76765704,0.58845919,1.44815755,0.55781496,1.19846106,0.27419257,-0.09561455,-0.39153457,-0.99395412,0.86534369,-1.94867587,1.26594651,1.86226392,-0.99054450,-0.70577312,1.91355705,0.16692110,0.25056657,0.72656614,0.09670549,0.81354022,0.96291167,-0.56811112,-0.93283701,1.79410172,-0.28495172,0.31311786,0.57591625,-1.78584874,4.88374901,2.00664783,3.16986918,-0.32268053,-1.22126937,1.18211710,1.05177724,0.57587677,1.34525990,0.24642452,1.45972002,1.51504183,0.05532183,0.10076670,0.75126006,1.64332855,2.10811138,0.46478286,0.74540311,0.61,0.40,
0.00,0.00,11.00,0.51,105.00,-1.02039289,-0.46180147,0.13745397,-0.53333515,-0.46951887,2.22313285,0.13631407,3.06,0.10684385,0.74301373,0.14180172,-0.88025308,-1.20416892,-0.07932046,-0.24896006,-0.22297135,-0.00797224,-0.13617191,-1.09482181,-0.48432997,2.35829449,0.12497822,-1.82715023,-1.60578251,1.01265788,0.33814964,0.74833602,0.87954932,0.17148395,-0.94484043,-0.15344955,0.08975507,0.76464555,0.15498966,-0.54766339,-1.15673363,-0.79379517,-0.94706595,-0.93240023,-0.44035032,-0.78031093,-0.68041623,2.87127352,0.09083876,-1.28699756,-0.38257337,0.33291650,0.10634408,-0.30432898,1.13015234,-0.71818805,-2.71767950,0.02713736,0.00452934,0.94635797,0.93341929,-0.74071789,0.23501500,0.24963060,0.47031033,1.24902582,-0.78940880,-0.38154039,0.67758024,2.83600855,0.09252916,-1.66135073,-0.89016861,1.46320307,-0.08788456,-2.22351193,-2.96462059,-1.11743999,-0.54384822,-0.40622020,1.05362415,0.30495724,1.83979249,1.86889040,0.02909795,0.02537258,0.87361138,2.43497396,2.40526843,-0.02970557,0.00298605,0.57,0.39,
0.00,0.00,15.00,0.68,26.00,1.39406276,0.75608879,0.80707949,0.38215742,0.83484709,3.26489854,0.07111769,4.49,0.04704092,0.13432317,0.58754662,1.36861229,0.10195120,1.16417718,1.44619405,1.76857984,0.08431481,0.27848664,0.53806067,0.84379709,3.34073019,0.06792346,1.52454901,0.18524733,2.26142502,2.06024647,3.01572633,0.61107779,-0.34730363,1.08136070,1.29904115,2.03053451,0.15495204,0.76085669,-0.36457857,0.29111475,0.89574987,0.75580406,-0.52504551,0.60718125,-0.47492367,0.24326985,0.33655268,0.56210507,1.76821852,-0.99800617,0.57110274,-0.46133271,1.74014544,2.96018624,0.35794121,0.55031025,0.33671179,0.32258019,0.57020670,0.43179858,1.20129108,0.16230761,1.86294377,4.68179321,-1.97762036,-0.08224460,-0.56055754,0.37919468,0.41835454,0.51792867,-0.30340484,-0.46995434,1.37639081,1.88717818,2.07231236,0.24627611,2.65349388,4.19727278,1.01631260,3.03624511,0.08177498,1.92017698,1.86536610,-0.05481082,0.07837010,0.77982301,3.30679822,2.57176328,-0.73503494,1.55685425,0.53,0.39,
0.00,0.00,20.00,0.79,132.00,0.65088075,0.73805332,0.69129455,-0.23340519,0.46170586,0.73234707,0.39235562,5.25,0.31055878,0.30075356,0.70435805,-0.19041798,1.02260113,1.30500948,0.70708376,0.38812384,-0.10125862,0.80690545,-0.53186506,0.42577276,0.62210530,0.43047869,2.47725105,0.09368700,1.04257095,2.58399224,0.04198020,-0.68549442,1.76990068,-1.01339424,0.78881168,0.65595061,0.41847836,-1.55583322,1.26426506,1.92902374,-0.44664979,0.79501230,0.78144479,0.36265084,-0.89930052,0.27882665,0.22362292,0.63651366,2.24690175,1.44103611,0.01688468,-2.23880529,1.68615294,1.87400532,1.99580109,-0.79002219,0.95061594,1.88764095,0.16981969,-0.99059272,2.54395318,2.13861775,-1.40952456,1.63643849,-0.76548743,2.85149598,-1.51941717,0.85341460,1.54306161,0.21449511,-2.25445747,-0.11357853,0.66554040,0.45463777,2.37225270,0.94175142,0.41183272,2.76434278,0.86848724,1.62013566,0.20341058,-1.41454124,-2.30102754,-0.88648635,17.57630157,0.00004228,-3.97589874,-4.82603073,-0.85013199,0.56654495,0.91,1.71,
0.00,0.00,18.00,0.78,130.00,1.53114069,0.28772068,0.76794595,0.39536196,0.74554229,2.02091670,0.15549854,5.10,0.13778224,0.14922853,0.28192584,0.51558334,-0.22564507,0.28365055,2.05792761,0.55776328,-0.44052422,1.98080170,1.41816401,0.76846516,2.15803194,0.14218402,1.06907177,-2.50731802,1.21597576,3.09496236,1.64319110,-0.47458699,4.45727921,2.15401173,1.33157337,2.05451632,0.15254249,0.60625982,1.45176852,0.05953773,1.21260929,0.80035061,0.01983726,0.37562719,0.37911803,0.61313856,1.09017861,0.29697065,-0.57406300,-1.50362563,0.43411377,-0.50896084,0.92063063,-0.49846640,3.23891401,1.00093210,-0.06153055,0.00836918,0.92712955,-1.27996671,1.51601112,-0.43858188,1.73415089,1.03966916,-0.27087852,2.79931855,0.97064090,0.35588264,0.28233236,0.59531126,-1.34591329,0.90758151,2.34800696,2.62001276,3.27599788,0.87124515,0.29665387,3.12307405,1.14818537,3.00127864,0.08355080,-1.16207445,-1.90306532,-0.74099082,11.19857025,0.00098662,0.87485343,-0.42828262,-1.30313611,1.72606075,0.00,0.00,
0.00,0.00,17.00,0.75,133.00,0.24386215,0.71196145,-0.21455528,0.50851399,0.31244558,0.30741027,0.57941411,5.48,0.51518731,0.38120967,0.84251516,0.32393059,1.17262244,1.01713037,-0.15281232,-0.69408363,0.91147137,0.79334545,-0.77619994,0.32442555,0.33205166,0.56460100,2.02595901,1.78040504,2.82930946,1.70299935,-0.75119007,0.32593399,1.59937322,-0.62086940,1.11149013,1.22296691,0.26944887,-0.53232425,0.98850030,-0.46531603,-1.24400234,-0.35166818,1.88600349,0.09775952,-1.24998701,-0.10887933,0.02873898,0.86545636,2.36507297,1.46272862,-0.30853683,-2.46188521,1.19646025,1.69752932,2.32019114,-0.32464784,0.18743135,0.06722980,0.79547465,0.97091615,0.70113069,-1.91093969,-1.93751216,-0.07894441,0.69341618,0.70741689,-0.82320851,-0.76447350,1.12584734,0.28895529,-2.82699943,0.31923777,-2.36327434,-0.22181393,-0.69494349,3.83451033,3.14825344,0.85364676,-0.35250080,0.24749517,0.61896920,-0.87883502,-1.43224466,-0.55340958,6.15385866,0.01398190,2.30119991,1.63097012,-0.67022973,0.62851214,0.00,0.00,
0.00,0.00,14.00,0.70,136.00,-0.26483175,1.75494659,0.61952305,0.99009341,0.77493286,1.44797683,0.22917538,6.26,0.24015893,0.28642690,0.48151594,2.82903838,0.17153293,-0.25949103,0.85543776,1.33912027,1.70170963,0.95966512,-0.80298418,0.84925359,1.74536312,0.18680452,3.34176016,-0.14412571,0.30949321,2.56663728,1.25883162,1.89559376,2.17591000,-0.77925891,1.32810521,1.49573505,0.22205424,1.93809772,1.01024508,-0.49317583,-0.64950931,1.87595558,2.24303436,-0.33894819,-0.11628593,0.68367666,0.77016449,0.38061646,6.62464952,1.37915516,0.63493705,-0.56480896,0.97591048,3.12459207,3.21519542,-1.19096565,0.73604518,0.79990929,0.37136615,3.91760445,1.08707035,-0.18950149,-2.29301548,3.46785545,-1.32186151,0.40360612,-0.81972998,-0.44284987,0.29139262,0.58946667,-0.35506219,1.54575992,-0.62385505,-0.98417431,-0.33490878,-0.69046873,-3.49259114,2.90078115,-1.19133556,2.14086246,0.14377994,-0.50174892,-0.89011204,-0.38836312,3.13635945,0.07816782,-3.70802426,-4.00457382,-0.29654956,0.08107235,1.34,0.71,
0.00,0.00,0.00,0.62,129.00,0.81781781,0.99923754,1.07844949,-0.36198345,0.63338035,1.34721577,0.24607915,5.31,0.13434939,0.46610842,0.07251806,0.93191779,-0.95475662,0.54702741,0.78392017,1.87097955,2.33271217,0.17337328,-0.62442136,0.63259405,1.35676193,0.24441547,0.69741666,-1.82573557,0.84997994,0.93673569,1.71684825,1.86869967,-0.58863020,-1.47922444,0.27201125,0.09096104,0.76311685,1.38272750,-0.55122721,0.77835149,1.18645024,2.61126781,2.94214892,1.42836583,0.15598632,1.24175882,3.27829075,0.07084315,4.16228485,-1.89751935,-0.98846316,-1.32956970,2.41515875,5.97016668,2.43951225,-2.07393837,1.28555429,3.46113086,0.06316226,-1.12593246,1.23448527,1.66250789,1.33831203,4.55067730,1.59996283,-1.02798855,-0.23201050,1.43193126,4.24945927,0.03955742,1.34718561,0.75561523,0.82447159,1.51594579,2.23033571,-3.60585046,0.33466941,3.21151137,1.21992171,3.14432693,0.07653884,-0.14937626,-0.42096239,-0.27158615,1.70128441,0.19369790,-2.02241993,-2.21049595,-0.18807594,0.03729198,1.34,0.71,
0.00,0.00,0.00,0.53,144.00,0.29589069,0.23106627,0.12498096,0.11847094,0.19260222,0.17461568,0.67614346,4.48,0.67958249,0.82329840,0.77312224,-0.12201098,-0.73349738,0.28013659,-0.25106928,0.41573733,0.78232771,1.12458467,0.06307341,0.19491026,0.17938347,0.67200722,-2.59142137,-1.73195958,-1.05091619,-0.54724276,0.87228441,0.84741634,2.37578011,-0.35093555,-0.27212435,0.12518567,0.72366471,1.63687873,0.25260022,0.88191503,-0.26942831,-0.34594017,-0.49628884,-0.04182179,-0.19149970,0.17830190,0.10477488,0.74631773,1.09499621,-0.44280109,0.15516745,-1.16257012,2.61828446,-1.16204011,-0.00889292,1.52706945,0.15961440,0.07291161,0.78720732,-0.70469809,0.43346578,-0.23055606,2.03853893,-1.31022036,1.22259498,-0.56546772,0.60488075,0.03176942,0.00287663,0.95723881,0.96639979,0.82354748,2.20279837,-2.17903328,0.15808658,-0.97952330,1.20324433,0.31957436,0.20908295,0.12877356,0.71979353,-0.07603294,-0.27061835,-0.19458541,1.02242231,0.31323106,-1.27686024,-1.60899687,-0.33213660,0.16449447,1.29,0.72,
0.00,0.00,6.00,0.42,153.00,0.74840039,-0.34403315,-0.81355673,0.65825677,0.06226682,0.01800198,0.89329756,4.51,0.93710168,0.50961217,0.12516137,-0.45397207,-0.52193063,0.05633599,0.21430281,-1.07335007,0.32251343,1.62132704,0.73873127,0.11299472,0.05923862,0.80776019,-1.71469092,-1.10374689,-0.90226644,-0.53371787,-2.24029303,-0.15036605,3.32035255,1.27042937,-0.25678739,0.11002751,0.74028786,1.27816117,0.28039363,1.28588927,0.88701028,0.68627888,0.89753145,0.91895789,1.19281900,0.92838019,2.75084376,0.09787313,-3.53977442,-2.18433714,-0.00540955,-0.73310363,-2.10951662,-0.03737666,3.41780782,1.93244064,-0.98620194,2.79362535,0.09499705,-1.22017348,-2.17532349,-1.11722910,-0.03470299,-2.04555583,0.68857104,-0.40569076,0.37094641,-1.42657328,5.78484821,0.01637136,-1.51709449,-0.75703520,2.56987524,-2.49445915,2.07068205,3.93633008,2.30046058,0.03147119,0.03850386,0.00440173,0.94711786,-0.29225448,-0.44816467,-0.15591019,0.76105076,0.38410099,-5.53461885,-4.57405090,0.96056777,1.90391469,1.24,0.69,
0.00,0.00,4.00,0.29,158.00,-0.95265657,-1.03255010,-1.54217863,-0.43304083,-0.99010652,3.57980537,0.05881295,5.09,0.04220525,0.42143701,0.35533771,-0.88571668,-1.97495651,-0.10383034,0.13361108,-1.56198037,-2.02339029,-0.44404456,-0.61242098,-0.93409109,3.19750595,0.07409501,-1.24024057,-3.32324100,0.88959312,-0.28162959,-0.33913612,-0.45048696,1.58610225,-0.02937672,-0.39855197,0.28936711,0.59092781,1.20125782,-0.61764854,-0.53688908,0.51697844,-1.78052807,-2.78539848,-1.31848824,-0.17147270,-0.68652362,0.87848324,0.34910087,-2.95446229,-2.35193610,-0.45145786,-1.97074521,1.49357808,-3.02823901,1.78148115,-0.21921317,-0.52179176,0.60827035,0.43565047,1.33696425,-3.78704095,0.71577090,0.33810607,-4.66471529,-3.04064703,-1.51004565,-1.26390171,-1.07067430,2.60290384,0.10702826,-1.73678553,0.49030682,-1.34775960,-2.95772457,-0.77707517,-0.45861816,-1.28091764,0.41717893,-0.51975566,0.61470008,0.43323556,-0.52501309,-0.66433811,-0.13932504,0.68910515,0.40751074,-6.65182972,-6.64694738,0.00488215,0.00003408,1.19,0.66,
0.00,0.00,2.00,0.00,167.00,-0.71116507,-0.78725684,0.45140621,-0.14233066,-0.29733661,0.37961382,0.53796878,4.69,0.44116939,0.25290511,0.84273042,-2.43460321,-0.21606627,0.28619096,1.21423447,0.57969880,-1.13194346,-0.56188786,-0.35562769,-0.32750055,0.46706203,0.49452199,-5.11434460,-1.59713221,-0.85872281,1.59801781,1.66329646,-2.13664126,-0.15771998,-0.59318036,-0.89955336,1.30303407,0.25434782,0.09264480,0.66079855,1.65918863,0.84324473,0.73291850,-0.09709715,-0.70119327,-1.40126956,0.22365440,0.14532958,0.70321215,-5.13374138,-1.15673280,-1.85550904,-0.26399881,1.54030323,-2.36043167,2.01486874,1.22851300,-0.56602800,0.85226417,0.35616681,-1.61488008,2.54978871,2.63895106,2.86818290,-0.71218008,-0.13499127,-2.18698978,0.02845208,0.60787207,0.98641241,0.32089505,2.11477804,-2.14576197,-2.64475703,-2.08163357,-1.87138736,-0.37186173,1.46924639,0.69893742,-0.59209490,0.94737500,0.33065706,-0.50076628,-0.61416686,-0.11340056,0.51885241,0.47221684,-3.56061769,-3.53409195,0.02652578,0.00133159,1.19,0.66,
0.00,0.00,1.00,0.00,174.00,-0.60837734,0.21069220,0.09778056,-0.93746376,-0.30934209,0.48713717,0.48539088,4.31,0.58423024,0.86158165,0.60554868,-1.10247874,0.75215834,-0.42815012,-0.01667897,0.23874208,0.63270879,-1.26239824,-1.52166247,-0.33846992,0.58729172,0.44367406,-2.23907399,1.23405731,-0.20510694,0.58902115,1.67582536,1.21807063,-2.01659489,-3.46610856,-0.40123877,0.24771948,0.61896102,-0.22579557,0.60688609,-1.04941857,-0.11622070,-0.19539502,-0.44377157,-1.12476087,-0.06401636,-0.32656157,0.50914675,0.47586413,-2.27716541,2.88130093,-0.87510937,0.04335748,0.48465079,0.70272410,2.06753945,-1.67682660,1.13839877,4.04666328,0.04456456,-0.60764241,0.99609625,-0.09420029,0.57091701,1.31731284,1.01825082,-3.79398751,1.47522962,1.07524681,3.65107036,0.05635937,0.92321903,2.49908209,-1.41326499,-3.70462251,-1.90837359,-0.43086034,-0.53763694,-0.38607264,0.33931446,0.37120554,0.54250586,-0.18826233,-0.26137030,-0.07310797,0.25410229,0.61478525,0.23811838,0.34967229,0.11155392,0.03657357,1.13,0.61,
0.00,0.00,0.00,0.21,159.00,0.36679772,-0.19492917,0.76931566,0.74373811,0.42123058,1.12139523,0.28990781,3.87,0.48522453,0.06052806,0.65810504,1.01555204,0.74163431,-0.15824543,1.62854934,0.49625352,-0.13799216,0.27875188,-0.29068249,0.44672763,1.26435459,0.26113540,2.04541135,0.87782151,0.73479199,4.07575941,1.22353435,2.39335060,1.51470006,-0.37490517,1.56130803,5.63578033,0.01807240,0.94147712,0.23429896,-0.04168884,-0.10413209,0.84357828,-1.33819485,-0.58563930,0.40952283,0.04490276,0.01098616,0.91656760,-2.53420997,0.13110170,-2.52631998,3.15937424,0.97417623,-0.76706946,3.04541636,-3.14605093,-0.88637173,3.13505888,0.07697334,2.84015965,0.42797655,3.55310011,1.66498113,0.14183614,-1.43597555,-2.57766724,1.40605509,0.06183369,0.01526879,0.90168651,-0.32449490,0.40366185,2.40940571,0.31306154,0.28882730,0.46355036,-1.33361912,0.74238813,-0.32265592,0.41065848,0.52180308,0.88251245,0.88926190,0.00674949,0.00159180,0.96821686,0.27695781,-0.15524317,-0.43220097,0.29839766,0.69,0.40,
0.00,0.00,0.00,0.36,136.00,0.29374236,-0.25279391,0.82972217,-0.00944092,0.21530743,0.30353642,0.58181322,3.80,0.68305027,0.81860013,0.31487801,-0.47060889,-0.45911539,-0.14026786,1.69620621,0.91910958,0.32533786,0.00242028,-0.11140374,0.22020976,0.31902525,0.57233814,-0.94251949,-0.57347119,-1.24114835,2.25864005,0.06548477,0.30790746,-0.17273881,-1.09114265,-0.17362353,0.07188501,0.78875097,-0.29844719,0.18747051,0.75815171,1.28096664,2.41880870,0.46352854,-0.36561796,0.14999889,0.57435751,1.46629965,0.22654157,0.02023688,-0.78854817,-1.03600740,1.21209204,1.11192870,1.11832464,-0.49498579,-2.91449118,-0.26127177,0.27351862,0.60111341,-0.50572509,-0.04489628,1.74312484,-0.18298365,5.75977898,-1.34627354,-0.70929050,0.93493599,0.84175420,2.93679595,0.08693610,-2.29957366,1.27668679,2.40178323,1.21673346,-0.14189111,-1.05491757,-1.89559793,2.86377835,0.39943230,0.66604269,0.41465658,1.33398676,1.35603738,0.02205058,0.01388910,0.90630939,1.36767960,1.73731220,0.36963260,0.29106057,0.69,0.40,
0.00,0.00,0.00,0.55,82.00,-0.00472309,-0.39456511,0.46736425,-0.28330514,-0.05380727,0.02079424,0.88537380,3.63,0.92270947,0.75389720,0.33486513,-0.07650428,0.32485965,-1.37113833,1.09753442,-0.39674842,1.10896528,-0.42923546,-0.56959981,-0.03898338,0.01110501,0.91609807,0.52722359,-0.87886685,-0.67525172,0.87767428,-0.96721286,0.08873437,0.06339614,-0.71054220,-0.20935565,0.13550985,0.71298247,0.64834273,1.52401745,-2.04476714,1.44619703,0.82290697,2.21790624,-0.61389005,-0.29957744,0.46264195,0.89221567,0.34536498,0.50305933,-1.98969209,-2.30698586,1.48851609,0.37534916,2.13559699,-0.31361377,-2.82113647,-0.14194465,0.08978035,0.76452766,1.72162235,1.67606294,0.71546423,0.24333310,0.10725922,1.42450845,-0.88941985,-1.32970965,0.71500516,2.25837302,0.13325401,-1.64798844,2.18590474,0.20941930,1.76992095,-1.19413722,-0.03345704,-3.69465160,2.17485619,0.36377692,0.61184788,0.43430428,1.64299238,1.65016007,0.00716762,0.00128688,0.97142119,2.34965158,2.52654672,0.17689522,0.09981871,0.63,0.39,
0.00,0.00,21.00,0.00,134.00,2.09218764,2.43472099,2.44168067,-0.66368687,1.57622564,1.95974946,0.16189135,10.95,0.09287471,0.07179678,0.29839308,3.72484422,1.80339658,-0.29964721,3.39373970,2.35161614,2.68141627,0.14680739,-1.05057585,1.59394968,2.00334620,0.15730657,9.12583923,0.23757245,0.43094891,8.43882847,5.54611158,-0.20810400,2.48306561,-2.87759042,2.89708400,2.12357998,0.14583766,1.58706033,0.38749391,0.83965003,0.74199843,3.16898012,6.86526585,-0.84785146,-1.41535759,1.41590500,1.45937026,0.22764043,8.77292442,0.98723173,-0.20568715,0.31036401,4.00404930,3.65121365,5.74172020,-2.97731209,3.10785985,4.64527798,0.03141093,6.95507622,7.91652250,-1.80372810,0.13492896,5.39509678,-1.01216018,1.60072267,-0.45463449,2.92966843,4.17464304,0.04133198,-2.31464958,5.13351202,4.04386854,3.09538269,1.54487360,-2.42988539,1.55453241,5.81080055,2.86669159,4.05155754,0.04443616,-1.29055393,-2.27372360,-0.98316973,15.04430389,0.00014465,1.91218078,-0.78261346,-2.69479442,1.83941817,0.85,1.73,
0.00,0.00,18.00,0.82,125.00,-1.16131699,1.08699322,0.33949393,-2.21551108,-0.48758522,0.20733443,0.64897666,10.42,0.78303259,0.84372061,0.85813860,1.73030794,-0.42283395,0.49538395,0.52043080,0.92087442,-0.58465552,-2.59473014,-4.06137753,-0.49957499,0.21801460,0.64067259,4.69025946,0.11943787,1.21745884,2.44418931,3.74171424,-0.75986981,-1.48555744,-6.45672560,0.43886331,0.04871452,0.82542885,0.32567373,-1.59150565,0.01673111,0.00902352,-0.37603942,-0.53428245,-2.98031640,-0.70923656,-0.72999400,0.42729589,0.51363984,13.23940563,-1.22152781,1.37861538,-0.87263280,1.35166407,-1.71725905,3.88228226,-6.49540663,3.36963630,6.16730976,0.01319933,-5.46016550,7.01455259,3.27472806,-2.64903951,1.81095135,0.77660060,-2.72435856,-0.82674819,2.50902414,3.39299703,0.06581169,0.31213465,1.80645156,-3.27549648,-4.18387318,2.49043226,-4.41657352,-4.18971395,1.64286816,1.04502749,0.59568810,0.44043611,-0.84323251,-1.62328577,-0.78005326,8.81616688,0.00337054,7.22308731,5.15157938,-2.07150793,1.28018713,0.00,0.00,
0.00,0.00,16.00,0.77,130.00,-1.47666252,0.53452981,-0.03339502,-0.76188385,-0.43435287,0.28994325,0.59039261,7.85,0.56809022,0.50369389,0.55445026,-2.67089081,-0.80737716,0.31364092,1.89080012,2.04005527,-0.85058177,-0.54960555,-2.68853307,-0.41531149,0.26858813,0.60441087,-7.27824306,-2.44412994,-0.19339977,2.94381762,2.74289799,-0.04076719,-0.09218304,-5.52242517,-1.23555398,0.73999494,0.39018168,0.56560814,0.49607810,-0.23113589,0.93978792,1.61627841,-3.08848810,-2.06365395,-1.89612532,-0.45770630,0.26928800,0.60405508,2.22461915,0.04746399,1.21957564,2.19731474,5.43247938,1.89871335,-3.11208677,-4.52059793,1.26567209,1.50919318,0.21959218,-3.65951204,3.04089189,0.06729394,2.83522272,1.26422095,-1.15353656,-1.08104992,-2.15657330,0.67965668,0.43666014,0.50891262,3.22853637,-3.76123047,2.59550238,-0.88750696,-6.99283028,-5.01477194,-0.43412092,1.28273022,-0.50757879,0.25145075,0.61618140,-0.54530209,-1.09155440,-0.54625225,4.65090609,0.03229359,1.54592478,1.33296609,-0.21295868,0.04285361,0.00,0.00,
0.00,0.00,13.00,0.70,133.00,1.74553418,0.61154485,0.66542768,1.62123954,1.16093659,4.13915348,0.04220048,5.55,0.07933701,0.64976781,0.01156329,0.04194594,0.84007978,0.29457432,2.52275848,1.92875087,1.83771634,1.68651855,0.64606559,1.22480118,4.61475897,0.03197063,-1.52078998,-1.42634010,-1.48688173,1.18852162,2.73241520,0.32314599,3.43183994,-0.18087131,0.38262996,0.16171984,0.68779443,1.70427608,2.33370900,1.88161540,3.39858770,2.04257059,3.10105395,0.60845137,1.29557657,2.04573011,8.36806202,0.00399676,-0.12596790,-0.92267990,-0.60734111,1.64782798,2.17725229,1.61434805,1.91191041,-0.45719302,-0.99890459,1.85622489,0.17341131,-0.66734761,2.86830664,-2.88690543,3.87391186,2.87313795,0.05447317,-1.06541097,0.42835405,-0.98743379,1.85996866,0.17297875,-1.06973588,3.80916476,5.60274553,1.30208933,1.50881910,0.97769117,1.21570969,-0.04387285,0.18166737,0.06374138,0.80073660,-0.29634735,-0.65000498,-0.35365760,2.22551084,0.13740623,2.31428862,4.79009867,2.47581029,7.63570166,1.34,0.71,
