x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,0.00,0.79,151.00,-2.55850029,2.06750941,-2.03724980,-1.37437153,-0.97565311,0.78648227,0.37540740,10.70,0.68422472,-0.11906543,-1.55407238,0.19086044,-2.26289058,0.65386450,-2.15361238,-2.73954940,-0.91253006,0.97068775,0.32,13.60295010,2.16502094,-1.56635737,0.13317548,0.46657890,1.53727221,0.11541079,0.65384090,3.44748473,6.02920723,0.01426437,-2.97075152,1.66413057,-0.81322497,-2.20753765,-3.43474150,0.30119619,-4.91288805,-4.10226870,-0.69763589,0.24588130,0.62011461,0.80730915,-5.59016228,-4.09130144,-3.75429106,1.23152900,1.00932658,-5.52087164,-4.59170341,-1.28320992,0.85017449,0.35675685,0.56458372,0.50802404,-0.05655967,0.06794333,0.79463745,7.39829731,8.35014343,0.95184612,0.42959332,1.06,0.50,
0.00,0.00,16.00,0.75,153.00,-1.23432314,0.41223830,0.03536686,-0.85507542,-0.41044834,0.30762357,0.57928259,7.20,1.41952503,-1.85334814,0.72775525,-1.22485602,-1.09945285,-0.49878314,-1.40335655,0.42396387,-0.43856907,0.44691011,0.50,5.14427757,-0.04736599,1.11762369,-2.65929103,-2.26373625,-0.25333372,-0.04537141,2.18994045,1.25794113,1.76172757,0.18475499,1.34651911,-1.66744828,1.22279143,-2.34446669,3.77988696,0.29538122,-1.67918336,-1.38661659,0.87683666,0.86191082,0.35346025,-0.96308142,-0.98437536,-1.58741057,1.37294972,-0.16805036,-4.40767670,-3.27694368,-0.11812130,-0.34088728,0.13239622,0.71604818,-0.13085236,-0.05809386,0.07275850,0.11432860,0.73564221,2.74838328,2.92980838,0.18142512,0.01492209,1.01,0.48,
0.00,0.00,0.00,0.75,142.00,0.67023939,-0.84569353,-0.19590214,-0.11642235,-0.12194467,0.03740189,0.84669357,6.13,0.05110755,-0.80772704,0.23361968,0.44167697,-0.51191175,0.05461824,-0.17380847,0.55496866,-0.01968202,0.00157183,0.97,4.45892000,-4.15722847,-0.15132824,-0.44942626,-1.92902136,0.04906612,-2.61961484,-1.68404269,-0.75389582,0.87619209,0.34950473,-2.11761379,0.58994758,0.81800193,-0.35319772,0.51047277,-0.69355196,-1.77193809,1.19706321,-0.04596527,0.00325316,0.95452913,1.28694952,-0.01167756,2.36647511,0.30471891,1.77252269,-0.26373145,1.55778611,-1.94369626,0.76954025,0.92752045,0.33577383,-0.53285748,-0.35387224,0.17898527,0.56963992,0.45133652,-2.02192640,-2.01045704,0.01146942,0.00017796,1.01,0.48,
0.00,0.00,16.00,0.79,102.00,1.50412428,0.53837883,1.67828798,2.56661129,1.57185054,1.74213159,0.18721104,11.58,1.78411496,2.84710145,1.93808556,1.04911506,0.89017421,4.04637909,-1.21676064,4.05222797,1.92380476,3.42932796,0.06,2.19551563,5.18028975,0.38027072,-1.91173160,-1.15582180,0.78339040,0.44973841,-2.18711591,-2.07888079,1.84370863,0.17486654,-4.17945862,7.77719021,-2.70591307,-2.37455416,1.54309738,8.57316208,2.91748643,2.03345394,-0.93715209,0.38402623,0.53561745,0.82365316,4.43895245,-4.16669416,9.51031208,1.43234825,-2.76187110,1.72862411,-0.41386274,-1.12713599,0.56342030,0.45308700,-0.74425548,-0.47214544,0.27211002,0.88646317,0.34763310,7.31046104,8.13977528,0.82931441,0.13554096,0.00,0.00,
0.00,0.00,19.00,0.00,34.00,-0.68578190,-3.38467717,-1.75611925,-4.12639189,-2.48824263,2.55563354,0.11025949,15.14,-3.85099196,-1.96666217,0.76367152,-0.09602494,-0.75360459,1.00746834,-1.46466255,-0.42034245,-0.84764361,0.39656645,0.53,-1.16378987,1.12049162,-2.36081553,-11.25955677,-9.28688526,3.23357677,-4.38532019,-4.31450462,0.50702876,0.06460898,0.79941386,-9.14309311,-1.01660371,-6.16806507,0.43551859,7.58800173,-3.96351242,-1.08398378,-1.79794788,2.33116150,1.38169861,0.24013140,-0.33741474,5.64702082,-2.62607551,3.83919311,-12.81214809,-3.74470258,3.32246017,1.85390973,3.62688780,3.42028093,0.06473675,-1.24133706,-0.89436257,0.34697446,0.91417420,0.34022425,-4.55725908,-4.41409874,0.14316016,0.00228880,0.00,0.00,
0.00,0.00,0.00,0.80,145.00,-13.74386024,-4.25141764,-8.74453163,-17.18370247,-10.98087788,4.04318047,0.04465374,53.12,-12.70685959,-21.18764496,-9.01596165,4.41845179,-25.67194939,-8.79604721,-11.61408901,-3.85658026,-11.05383492,5.50530672,0.02,9.84255981,-12.96635723,-19.60306740,12.02082443,-25.58641243,16.58020401,-11.29050064,-6.82178450,12.48379612,3.17745709,0.07500708,-12.10314465,3.02951646,27.45322990,3.22734785,-27.03332329,-21.77594185,-40.30787659,-4.46395826,8.82021046,1.61647439,0.20392155,-0.95535910,-18.59871101,-12.50873566,-14.33490276,-26.59315872,-15.19439316,-3.54658127,-14.77430153,3.58414197,0.26748997,0.60515107,0.00835448,-0.06726082,-0.07561531,0.07527415,0.78410502,7.74618530,11.73302555,3.98684001,0.31119642,0.00,0.00,
0.00,0.00,14.00,0.77,147.00,-0.40598992,-3.02289152,-0.54973429,-3.87975335,-1.96459222,1.54863834,0.21366678,15.36,-0.99370360,-9.10179615,-9.46920776,-2.19257379,-6.79989481,-4.05854177,3.38842678,3.42372966,-3.22544527,6.05016518,0.01,-3.50101399,-6.29096031,-9.26051331,-3.78430820,-4.62017107,2.02607632,-3.59894490,5.05097532,0.80736142,0.15927264,0.68992433,12.74322796,-11.34073734,-5.82690620,-6.19499683,2.75580311,-5.81351137,8.73326969,1.05388010,3.28791356,2.72926974,0.09888269,-7.20283270,-5.60591698,10.89668369,11.06041718,4.45110416,-0.71073920,-9.66864204,-8.29546547,3.60559893,3.33720422,0.06806976,-0.61751479,-0.53999424,0.07752056,0.08679236,0.76861695,0.03369259,0.59840500,0.56471241,0.05243380,1.01,0.48,
0.00,0.00,16.00,0.78,126.00,-0.11586567,-0.12899470,-1.92378044,-1.78674996,-0.98884767,0.48351619,0.48701688,13.83,-1.38689220,-5.70036221,-5.13086224,-4.45900869,-1.01038778,-3.02783608,1.02586591,-3.57442188,-2.90798807,5.55283499,0.02,1.07773411,-6.56033087,-6.20447159,-3.79076505,1.49766600,-2.55568576,3.20578599,13.86063766,1.83482254,1.03035212,0.31035625,-0.13014685,-6.67175436,-2.53886652,2.46005082,-0.27124587,-1.02980316,-3.38573837,-3.18939424,-0.09950600,0.00299693,0.95635469,3.78896141,-3.70580006,9.03174305,-3.95005703,4.65239429,-2.11720085,0.91963339,-10.33851528,1.64980757,0.85118628,0.35647099,-0.99742860,-0.79738885,0.20003973,0.46718040,0.49511986,7.52579117,8.00199509,0.47620386,0.05371276,0.00,0.00,
0.00,0.00,17.00,0.84,55.00,-2.68459415,-3.23227739,-2.90017700,-8.86072063,-4.41944218,3.72276640,0.05399549,22.28,-2.44521379,-3.34352589,-7.09358072,-6.06500673,-6.52736187,-1.34439254,-1.20842838,-6.96294880,-4.37380743,5.13850498,0.02,5.10285950,-2.21121168,-13.68726444,2.25000572,4.23685265,-7.46499300,-5.22325802,-6.54999733,5.82002592,3.92276883,0.04794881,-3.95406461,0.49676284,4.15418768,-5.96909380,-4.10154390,-0.91497606,-4.90856504,-9.58236504,5.86496544,4.00268221,0.04573611,-4.87169266,-2.38508773,-0.30951887,-16.29220200,14.75469112,2.05415988,-11.79364872,-4.75079250,5.94562387,4.25751591,0.03937116,-1.47137880,-1.15999019,0.31138858,0.71915406,0.39748858,-2.06292820,-3.39753866,-1.33461058,0.14465454,0.00,0.00,
0.00,0.00,17.00,0.83,128.00,-3.59412360,2.99322152,-13.26511002,-5.00392723,-4.71748495,1.76294446,0.18460081,34.56,1.17579603,0.70484173,-5.38343287,-3.15944576,-0.31490412,-0.74702322,-8.25175476,-10.64795113,-3.32798409,1.23615301,0.27,-1.89090252,5.98036909,-14.85395527,-3.47840405,27.74269867,-17.26279640,22.74325180,11.05769348,8.80277252,3.79009986,0.05187588,19.65428162,-14.91726971,-12.05629635,1.33154321,-18.40774918,-5.39118671,-50.12364960,-22.17005348,-8.22134495,3.38410378,0.06616618,-10.33243084,-3.93366456,-8.35625935,9.41327477,-2.02924514,-13.46006393,4.02400875,-5.74398994,1.28395927,0.08140318,0.77547224,-2.14143252,-2.16895747,-0.02752500,0.00416453,0.94861354,-7.01590538,-5.67063141,1.34527409,0.09817869,0.00,0.00,
