x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
63.93,78.25,21.00,0.00,7.77,126.00,1.91701996,2.59848142,2.57870150,2.09313154,2.29683352,34.97977829,0.00000000,3.78,0.19761761,1.03717744,1.73967540,1.63056242,2.44909549,0.78655994,1.10680795,1.42436576,1.29648280,15.82423592,0.00,1.70869577,0.96833122,3.47631907,3.71267319,2.59511828,2.83601189,3.51593447,1.91510248,0.50925785,1.04325044,0.30734869,0.82163316,2.30319548,3.70117736,2.74888372,2.99079132,1.67474413,1.60749114,4.67202520,0.53925133,1.18663585,0.27630877,1.40245247,2.25053763,0.69992739,1.52056766,4.58582735,1.50910354,1.46699476,1.35599613,-0.23850296,0.23613918,0.62713014,-0.77587253,-1.97948599,-1.20361352,42.62487030,0.00000000,-2.54940963,-2.93679810,-0.38738826,0.33944631,1.21,2.26,
63.95,80.75,21.00,0.43,6.24,63.00,0.88958901,2.54152346,0.99862629,1.58009589,1.50245869,12.24737358,0.00048921,4.18,0.25130737,1.16389537,0.12166180,1.40186989,0.38661405,1.28537560,1.13842165,-0.31234092,0.67960060,3.55148292,0.06,4.66548157,3.00083542,1.36532605,2.65256429,2.17893028,3.29687166,2.84550714,0.30410388,0.94490546,2.94962049,0.08625116,-0.92366487,1.72077477,1.38468826,1.99788499,0.90157735,4.00659847,-1.16315913,0.23591121,-0.56444329,1.07125223,0.30094840,0.03037743,1.11548293,-0.99890047,1.30051923,0.47940040,-0.72431034,4.49039698,1.45331967,-0.73722571,1.85969651,0.17301015,0.02157675,-0.82807201,-0.84964877,21.51683044,0.00000652,-0.10972637,-0.30803007,-0.19830370,0.06159650,0.00,0.00,
63.99,80.28,18.00,0.60,6.32,113.00,2.70895076,3.34006667,2.95070314,3.09090042,3.02265525,39.44799042,0.00000000,4.68,1.06772673,0.38834381,1.41097271,1.83565629,1.46624339,2.89529705,1.33751369,1.32667053,1.46605301,13.05567646,0.00,4.55298948,1.26423657,3.81349325,2.47160006,2.22783184,5.60755491,3.37499475,3.35925627,0.19918483,0.10409854,0.74704257,2.46633744,1.77584743,2.77739501,4.94283962,2.93537641,4.31527615,1.73710239,3.06545091,-0.10614450,0.02982592,0.86292569,1.15594196,2.05022144,1.37059259,2.57996678,3.78589439,3.98126912,4.02733946,2.61031485,-0.45086002,0.54724747,0.45964276,-0.20995308,-1.24084032,-1.03088725,31.39007187,0.00000007,-4.58573866,-5.84960222,-1.26386333,2.43889332,1.21,2.88,
62.37,73.71,21.00,0.00,12.05,94.00,9.08426666,4.20087957,4.81519413,0.45771950,4.63951492,8.25661659,0.00415775,15.70,1.67497015,3.71606445,-0.51840591,8.11066914,11.39352417,11.03771687,6.18131304,5.39191961,5.87347126,19.36859894,0.00,-8.59587383,4.47028494,-6.57811069,12.24448490,5.00472498,5.03922367,5.38189459,16.27919197,3.84935331,3.54165220,0.06017714,2.09336066,2.48971152,-4.41813850,5.63176918,6.60357094,11.06709003,17.45779419,-1.69919598,4.17919970,4.17145443,0.04140945,10.59186172,4.53184652,14.69170189,8.87219524,21.01606178,18.77841187,-4.98891020,-3.25842190,8.48455524,17.77477455,0.00002745,-0.07956520,-1.91598272,-1.83641756,64.03924561,0.00000000,-0.32016146,1.19046676,1.51062822,0.59259266,1.40,1.82,
62.17,73.22,20.00,0.75,12.57,82.00,2.99112368,-6.40881538,2.91942525,-0.26019603,-0.18961565,0.01789085,0.89362545,13.78,-10.99180031,0.23008479,-1.40350330,4.20868874,4.40907860,3.26383781,1.46341288,-2.16227484,-0.12280942,0.01083827,0.92,-15.83357716,-13.25219536,-4.82607698,-1.11409450,-0.73644805,4.18338156,-11.80620289,-7.02245092,-6.33993864,12.41452599,0.00044805,-11.74426365,1.26191914,-2.63648582,9.28283405,3.46945357,10.05434132,13.85394859,0.62323326,3.16985178,3.16939545,0.07537675,-4.96097898,8.89615440,5.56282377,5.03200722,7.37810946,-2.43747973,0.87852848,1.02362597,3.25953269,3.32543182,0.06855673,0.42687091,-1.29909992,-1.72597086,58.14527512,0.00000000,35.86330795,34.56628036,-1.29702973,0.25710291,1.39,1.71,
61.73,73.52,0.00,0.00,11.24,42.00,1.25286651,-0.05048745,0.47347519,-0.12984879,0.38650137,0.07135034,0.78944312,14.07,2.46235824,3.63440514,1.65095079,-1.59486759,3.99417996,0.69247752,-3.26625347,-3.59657073,0.49708498,0.17221269,0.68,0.02379375,3.23996377,9.36452579,2.27440953,8.67730331,-3.73276520,-8.46579552,-10.41841507,0.06810553,0.00137625,0.97041541,2.71746397,2.29901242,-1.26832247,2.11233211,1.72329271,5.27344751,-4.47542906,-4.31152582,0.53108400,0.08250586,0.77399777,5.28264761,5.91731787,-4.64526367,-7.66506910,2.20530605,-0.58087718,3.70070219,6.17605448,1.30371881,0.51034653,0.47517920,-0.43773556,-2.17156601,-1.73383033,59.28162384,0.00000000,-0.86521137,1.74089158,2.60610294,1.56689310,1.36,1.84,
62.37,73.71,18.00,0.74,12.05,88.00,0.45877814,1.49895716,1.42618537,1.73422027,1.27953529,4.57177734,0.03277675,5.82,0.81830823,0.65490311,1.88545513,0.94191271,0.19974186,-2.46497273,-0.05213754,-0.14492382,0.22978586,0.21388189,0.64,3.59388065,0.56281787,2.35694051,0.48735160,3.96246147,-0.19576278,2.07058954,-0.09521987,-0.18680993,0.05917398,0.80786325,2.67690396,1.41210592,5.89803410,1.48582339,1.08383369,-1.43018734,-2.31373215,2.04367256,-0.26692307,0.12366607,0.72517643,-0.26881990,2.38232613,-0.80858666,2.72116828,-1.00413907,-2.91605949,2.79965782,0.41847485,-1.26802039,2.82094526,0.09339817,0.48724011,-1.05961800,-1.54685819,52.31708527,0.00000000,-1.53283513,-5.12130737,-3.58847213,16.23468971,1.36,1.84,
62.71,73.52,12.00,0.55,12.99,111.00,0.99611616,3.00281525,1.24181890,1.60641527,1.71179140,8.99976540,0.00277599,5.55,3.00178576,0.03268540,0.61614084,-0.67005903,0.61501950,0.52070874,1.48031330,2.22394276,0.97756720,4.21681547,0.04,5.47313881,6.15073156,-2.10113716,0.97878289,0.33246768,0.96501732,6.60165071,5.19814301,1.46207702,4.11715937,0.04275226,5.35058737,-0.87636256,4.18076134,-3.62962294,3.18814468,-2.09693956,-0.14366676,3.16989613,-0.33550584,0.21858114,0.64023943,0.51019400,-2.10505319,1.98218656,2.30881953,1.20260656,4.78891611,0.13310163,-0.59753889,-0.63435805,0.77797103,0.37800435,1.03691721,-0.31809404,-1.35501122,47.54780960,0.00000000,0.77046341,-2.18363166,-2.95409513,10.27870083,1.35,1.73,
62.60,74.82,21.00,0.86,10.54,98.00,6.84640312,1.49457467,9.24576950,3.97923112,5.39149475,15.13306522,0.00010772,13.48,0.06991714,3.53479648,1.34926963,0.34554961,4.55089521,10.17830849,5.29762650,5.41048717,3.84210634,10.98330402,0.00,-0.65673178,1.31096745,-9.31086254,0.65039998,-3.44978285,10.35098171,-0.28434703,12.65816498,-2.62399912,2.23569202,0.13521638,8.25669861,8.03249359,5.20772600,-1.07105470,14.03764057,14.50309849,16.80273628,7.38536215,5.16162395,8.62349892,0.00340541,-1.09972620,5.84418011,16.85365295,7.56398201,7.49169064,13.26123238,4.00038099,-0.30825537,2.91833544,2.80518866,0.09431670,-0.80626202,-2.48423958,-1.67797756,61.66250610,0.00000000,7.24667931,6.07177591,-1.17490315,0.41663125,1.37,1.96,
62.60,74.82,18.00,0.78,10.54,102.00,3.77163982,2.49205756,3.35366130,5.19145870,3.70220447,40.94410706,0.00000000,5.63,0.68265343,1.36276972,-0.81423092,1.30329776,1.67093801,0.32649669,0.59515780,-0.32208145,0.60062516,1.47249794,0.23,2.98519707,4.20411730,-0.04082439,3.27813292,1.78845191,2.69438314,4.64868116,0.06455605,-2.69196129,13.18878555,0.00029798,6.87001324,1.50516510,2.30662727,3.79050303,7.42718077,3.19513083,0.36989093,1.13358557,-1.87200820,6.51570892,0.01086115,1.32537794,5.44784498,2.42767429,3.96356916,3.40849161,3.40432262,4.64125538,5.35567427,-1.43101370,3.81596518,0.05108434,-0.49398598,-2.01499581,-1.52100980,54.24161911,0.00000000,-3.20361757,-5.83115816,-2.62754059,8.64550400,1.36,1.84,
